,k,q_squared,x_b,t,phi,sigma,sigma_stat_plus,ReH,ReE,ReHt,dvcs
0,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,7.5,0.1200531721115112,0.0049200002104043,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
1,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,22.5,0.1149689257144928,0.0046799997799098,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
2,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,37.5,0.1060783341526985,0.0041999998502433,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
3,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,52.5,0.0952655300498008,0.00395999988541,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
4,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,67.5,0.0842486172914505,0.0035999999381601,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
5,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,82.5,0.074176475405693,0.0033599999733269,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
6,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,97.5,0.0656180083751678,0.0031200000084936,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
7,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,112.5,0.058736927807331,0.0028800000436604,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
8,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,127.5,0.0534796752035617,0.0027600000612437,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
9,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,142.5,0.0497102215886116,0.0025200000964105,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
10,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,157.5,0.0472875162959098,0.0025200000964105,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
11,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,172.5,0.0461044311523437,0.0024000001139938,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
12,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,187.5,0.0461044237017631,0.0024000001139938,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
13,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,202.5,0.0472875162959098,0.0025200000964105,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
14,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,217.5,0.0497102215886116,0.0026400000788271,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
15,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,232.5,0.0534796752035617,0.0026400000788271,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
16,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,247.5,0.0587369203567504,0.0027600000612437,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
17,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,262.5,0.0656180083751678,0.0028800000436604,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
18,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,277.5,0.074176475405693,0.0032399999909102,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
19,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,292.5,0.0842486172914505,0.0034799999557435,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
20,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,307.5,0.0952655300498008,0.0038399999029934,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
21,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,322.5,0.1060783341526985,0.0041999998502433,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
22,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,337.5,0.1149689257144928,0.0045599997974932,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
23,5.75,1.8200000524520876,0.3429999947547912,-0.1720000058412552,352.5,0.1200531721115112,0.0048000002279877,-0.9924041423103456,-0.31,-0.3962724887322338,0.0177613202492134
24,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,7.5,0.081813633441925,0.005040000192821,-1.23275459944091,-0.31,-0.3427865803792093,0.0128291665507456
25,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,22.5,0.0771515667438507,0.0044399998150765,-1.23275459944091,-0.31,-0.3427865803792093,0.0128291665507456
26,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,37.5,0.069407619535923,0.0038399999029934,-1.23275459944091,-0.31,-0.3427865803792093,0.0128291665507456
27,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,52.5,0.0606410279870033,0.0035999999381601,-1.23275459944091,-0.31,-0.3427865803792093,0.0128291665507456
28,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,67.5,0.0523844249546527,0.0032399999909102,-1.23275459944091,-0.31,-0.3427865803792093,0.0128291665507456
29,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,82.5,0.0453842766582965,0.0028800000436604,-1.23275459944091,-0.31,-0.3427865803792093,0.0128291665507456
30,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,97.5,0.0398182682693004,0.0025200000964105,-1.23275459944091,-0.31,-0.3427865803792093,0.0128291665507456
31,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,112.5,0.0355824716389179,0.0024000001139938,-1.23275459944091,-0.31,-0.3427865803792093,0.0128291665507456
32,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,127.5,0.0324831083416938,0.0021599999163299,-1.23275459944091,-0.31,-0.3427865803792093,0.0128291665507456
33,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,142.5,0.0303310453891754,0.0020399999339133,-1.23275459944091,-0.31,-0.3427865803792093,0.0128291665507456
34,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,157.5,0.0289779640734195,0.0020399999339133,-1.23275459944091,-0.31,-0.3427865803792093,0.0128291665507456
35,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,172.5,0.0283255912363529,0.0019199999514967,-1.23275459944091,-0.31,-0.3427865803792093,0.0128291665507456
36,5.75,1.932999968528748,0.3680000007152557,-0.2319999933242797,187.5,0.0283255912363529,0.0019199999514967,-1.23275459944091,-0.31,-0.3427865803792093,0.0128291665507456
