bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,ALU,del_ALU,link
,,1.69,0.19,0.23,,1.5,,,,,,0.0014,0.0102,https://doi.org/10.1103/PhysRevC.80.035206
,,1.69,0.19,0.23,,6.5,,,,,,0.0449,0.0219,
,,1.69,0.19,0.23,,22.5,,,,,,0.0298,0.026,
,,1.69,0.19,0.23,,52.5,,,,,,0.1354,0.0402,
,,1.69,0.19,0.23,,102.5,,,,,,0.2361,0.0503,
,,1.69,0.19,0.23,,180,,,,,,-0.0858,0.1092,
,,1.69,0.19,0.23,,257.5,,,,,,-0.2164,0.0533,
,,1.69,0.19,0.23,,307.5,,,,,,-0.2105,0.0389,
,,1.69,0.19,0.23,,337.5,,,,,,-0.0691,0.0253,
,,1.69,0.19,0.23,,353.5,,,,,,0.0111,0.0218,
,,1.69,0.19,0.23,,358.5,,,,,,0.0075,0.011,
,,1.74,0.3,0.23,,1.5,,,,,,-0.0002,0.0071,
,,1.74,0.3,0.23,,6.5,,,,,,0.0024,0.0185,
,,1.74,0.3,0.23,,22.5,,,,,,0.1143,0.0266,
,,1.74,0.3,0.23,,52.5,,,,,,0.1871,0.0503,
,,1.74,0.3,0.23,,102.5,,,,,,0.1191,0.0906,
,,1.74,0.3,0.23,,180,,,,,,0.1608,0.1994,
,,1.74,0.3,0.23,,257.5,,,,,,-0.0513,0.121,
,,1.74,0.3,0.23,,307.5,,,,,,-0.1756,0.0548,
,,1.74,0.3,0.23,,337.5,,,,,,-0.0594,0.026,
,,1.74,0.3,0.23,,353.5,,,,,,0.001,0.0179,
,,1.74,0.3,0.23,,358.5,,,,,,-0.0035,0.0076,
,,1.83,0.46,0.25,,1.5,,,,,,0.0141,0.0049,
,,1.83,0.46,0.25,,6.5,,,,,,0.0209,0.0131,
,,1.83,0.46,0.25,,22.5,,,,,,0.0969,0.0204,
,,1.83,0.46,0.25,,52.5,,,,,,0.1998,0.045,
,,1.83,0.46,0.25,,102.5,,,,,,0.2461,0.0984,
,,1.83,0.46,0.25,,180,,,,,,0.0629,0.1908,
,,1.83,0.46,0.25,,257.5,,,,,,-0.328,0.1797,
,,1.83,0.46,0.25,,307.5,,,,,,-0.1679,0.0515,
,,1.83,0.46,0.25,,337.5,,,,,,-0.0653,0.0194,
,,1.83,0.46,0.25,,353.5,,,,,,-0.0377,0.0129,
,,1.83,0.46,0.25,,358.5,,,,,,0.0045,0.0053,
