bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,BSA,BSA_stat_plus,BSA_stat_minus,BSA_sys_plus,BSA_sys_minus,TSA,TSA_stat_plus,TSA_stat_minus,TSA_sys_plus,TSA_sys_minus,cAUT,DSA,DSA_stat_plus,DSA_stat_minus,DSA_sys_plus,DSA_sys_minus,cALT,link
,,1.68,0.11,0.194,,25,,,,,,0.37,0.23,0.23,0.01,0.01,0.44,0.26,0.26,0.02,0.02,0.0018,0.58,0.33,0.33,0.04,0.04,0.0116,https://doi.org/10.1103/PhysRevD.91.052014
,,1.68,0.12,0.19,,60,,,,,,0.34,0.11,0.11,0.03,0.03,0.12,0.14,0.14,0.02,0.02,0.0024,0.34,0.16,0.16,0.13,0.13,0.007,
,,1.58,0.13,0.186,,92,,,,,,0.23,0.06,0.06,0.01,0.01,0.18,0.07,0.07,0.01,0.01,0.0144,0.58,0.08,0.08,0.02,0.02,0.0072,
,,1.54,0.13,0.178,,128,,,,,,0.13,0.05,0.05,0.01,0.01,0.13,0.06,0.06,0.02,0.02,0.0184,0.56,0.07,0.07,0.02,0.02,0.0021,
,,1.5,0.13,0.174,,161,,,,,,0.05,0.05,0.05,0.01,0.01,0.07,0.06,0.06,0.01,0.01,0.0086,0.46,0.07,0.07,0.02,0.02,-0.0024,
,,1.51,0.13,0.173,,198,,,,,,-0.05,0.05,0.05,0,0,-0.08,0.06,0.06,0.01,0.01,-0.0086,0.51,0.07,0.07,0.01,0.01,-0.0021,
,,1.52,0.13,0.177,,235,,,,,,-0.21,0.06,0.06,0.01,0.01,-0.13,0.07,0.07,0.02,0.02,-0.0184,0.51,0.08,0.08,0.02,0.02,0.0018,
,,1.6,0.13,0.185,,266,,,,,,-0.28,0.06,0.06,0.01,0.01,-0.18,0.08,0.08,0.01,0.01,-0.0138,0.44,0.09,0.09,0.02,0.02,0.0059,
,,1.68,0.12,0.19,,305,,,,,,-0.15,0.1,0.1,0.02,0.02,-0.01,0.12,0.12,0.03,0.03,-0.0017,0.46,0.14,0.14,0.04,0.04,0.0082,
,,1.61,0.21,0.19,,97,,,,,,0.19,0.19,0.19,0.06,0.06,0.15,0.21,0.21,0.04,0.04,0.0193,-0.05,0.26,0.26,0.1,0.1,-0.0011,
,,1.57,0.23,0.182,,128,,,,,,0.17,0.1,0.1,0.03,0.03,-0.01,0.12,0.12,0.03,0.03,0.0209,0.54,0.14,0.14,0.05,0.05,0.0034,
,,1.51,0.23,0.179,,161,,,,,,0.09,0.08,0.08,0.02,0.02,0.13,0.09,0.09,0.02,0.02,0.0111,0.64,0.1,0.1,0.06,0.06,0.0044,
,,1.54,0.23,0.178,,199,,,,,,-0.12,0.07,0.07,0.02,0.02,0.11,0.09,0.09,0.01,0.01,-0.0085,0.6,0.1,0.1,0.03,0.03,0.0036,
,,1.62,0.23,0.184,,233,,,,,,-0.18,0.09,0.09,0.03,0.03,-0.24,0.11,0.11,0.01,0.01,-0.0221,0.38,0.13,0.13,0.11,0.11,0.0022,
,,1.64,0.22,0.191,,263,,,,,,-0.12,0.17,0.17,0.05,0.05,-0.41,0.19,0.19,0.08,0.08,-0.0201,0.75,0.21,0.21,0.08,0.08,0.0055,
,,1.63,0.49,0.188,,96,,,,,,0.39,0.24,0.24,0.09,0.09,0.23,0.27,0.27,0.06,0.06,0.0193,0.81,0.32,0.32,0.14,0.14,0.0016,
,,1.54,0.47,0.181,,127,,,,,,0.18,0.11,0.11,0.05,0.05,0.14,0.14,0.14,0.04,0.04,0.0213,0.34,0.16,0.16,0.04,0.04,0.0023,
,,1.36,0.49,0.173,,162,,,,,,0.21,0.07,0.07,0.02,0.02,0.19,0.08,0.08,0.01,0.01,0.0117,0.5,0.09,0.09,0.05,0.05,0.0073,
,,1.42,0.46,0.174,,196,,,,,,-0.07,0.08,0.08,0.02,0.02,-0.03,0.1,0.1,0.01,0.01,-0.0095,0.54,0.11,0.11,0.03,0.03,0.0071,
,,1.6,0.43,0.181,,234,,,,,,-0.22,0.12,0.12,0.02,0.02,-0.17,0.14,0.14,0.04,0.04,-0.0194,0.36,0.16,0.16,0.09,0.09,0.002,
,,1.56,0.51,0.185,,261,,,,,,-0.04,0.21,0.21,0.12,0.12,-0.29,0.24,0.24,0.1,0.1,-0.0218,-0.02,0.29,0.29,0.12,0.12,-0.0048,
,,1.62,1.35,0.184,,20,,,,,,0.13,0.16,0.16,0.07,0.07,0.23,0.19,0.19,0.02,0.02,0.0016,0.36,0.23,0.23,0.07,0.07,-0.0051,
,,1.56,1.21,0.178,,56,,,,,,0.01,0.14,0.14,0.05,0.05,-0.05,0.17,0.17,0.07,0.07,0.0009,0.5,0.2,0.2,0.06,0.06,-0.0017,
,,1.46,1.02,0.178,,92,,,,,,0.12,0.15,0.15,0.14,0.14,0.21,0.2,0.2,0.1,0.1,0.0029,0.08,0.21,0.21,0.18,0.18,-0.0005,
,,1.48,1.01,0.176,,128,,,,,,0.2,0.19,0.19,0.05,0.05,0.36,0.24,0.24,0.04,0.04,0.0021,0.44,0.27,0.27,0.06,0.06,0.0062,
,,1.36,1,0.17,,164,,,,,,-0.09,0.08,0.08,0.01,0.01,0.41,0.09,0.09,0.06,0.06,0.0034,0.12,0.11,0.11,0.05,0.05,0.0067,
,,1.35,0.97,0.171,,192,,,,,,0.06,0.14,0.14,0.11,0.11,0.07,0.18,0.18,0.07,0.07,0.0011,0.41,0.19,0.19,0.06,0.06,0.0095,
,,1.4,1.07,0.171,,239,,,,,,-0.22,0.17,0.17,0.07,0.07,0.09,0.22,0.22,0.03,0.03,0.0017,0.24,0.23,0.23,0.06,0.06,0.0048,
,,1.41,1.03,0.178,,266,,,,,,0.04,0.1,0.1,0.05,0.05,-0.27,0.12,0.12,0.1,0.1,-0.0034,0.3,0.14,0.14,0.08,0.08,0.0015,
,,1.58,1.24,0.179,,306,,,,,,0.01,0.14,0.14,0.09,0.09,0.04,0.17,0.17,0.1,0.1,-0.0009,0.51,0.2,0.2,0.07,0.07,-0.0016,
,,1.62,1.35,0.183,,340,,,,,,-0.11,0.18,0.18,0.12,0.12,-0.2,0.2,0.2,0.1,0.1,-0.0013,0.36,0.24,0.24,0.17,0.17,-0.0051,
,,2.03,0.13,0.255,,19,,,,,,0.03,0.03,0.03,0.01,0.01,-0.03,0.03,0.03,0.01,0.01,-0.0023,0.6,0.04,0.04,0.03,0.03,0.0328,
,,1.99,0.14,0.25,,52,,,,,,0.17,0.03,0.03,0.01,0.01,0.05,0.04,0.04,0.01,0.01,0.0027,0.6,0.04,0.04,0.03,0.03,0.0297,
,,1.93,0.14,0.239,,89,,,,,,0.2,0.03,0.03,0.01,0.01,0.05,0.04,0.04,0.01,0.01,0.0165,0.57,0.05,0.05,0.02,0.02,0.0179,
,,1.91,0.14,0.235,,124,,,,,,0.16,0.05,0.05,0.01,0.01,0.12,0.06,0.06,0.02,0.02,0.0247,0.63,0.07,0.07,0.02,0.02,0.0025,
,,1.84,0.14,0.228,,160,,,,,,0.03,0.06,0.06,0.01,0.01,0.2,0.07,0.07,0.01,0.01,0.0139,0.65,0.08,0.08,0.03,0.03,-0.0105,
,,1.89,0.14,0.231,,199,,,,,,0.02,0.06,0.06,0.01,0.01,-0.01,0.07,0.07,0.02,0.02,-0.0116,0.59,0.08,0.08,0.02,0.02,-0.0111,
,,1.93,0.14,0.235,,238,,,,,,-0.21,0.05,0.05,0.02,0.02,-0.13,0.06,0.06,0.01,0.01,-0.0246,0.5,0.07,0.07,0.02,0.02,0.0009,
,,1.94,0.14,0.239,,270,,,,,,-0.24,0.04,0.04,0.01,0.01,-0.16,0.04,0.04,0.01,0.01,-0.0176,0.63,0.05,0.05,0.02,0.02,0.0186,
,,1.97,0.13,0.248,,308,,,,,,-0.16,0.03,0.03,0.01,0.01,-0.16,0.03,0.03,0.01,0.01,-0.0041,0.56,0.04,0.04,0.03,0.03,0.0289,
,,2.03,0.13,0.255,,340,,,,,,-0.07,0.03,0.03,0,0,-0.09,0.04,0.04,0.01,0.01,-0.0007,0.55,0.04,0.04,0.03,0.03,0.032,
,,2.23,0.22,0.276,,21,,,,,,0.05,0.05,0.05,0.01,0.01,0,0.06,0.06,0.01,0.01,-0.0037,0.58,0.06,0.06,0.02,0.02,0.0172,
