bin,k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,,1.129,-0.108,0.125,,67.2,4.8336,0.331067,0.331067,0.869408,0.869408,0.758345,0.257278,0.257278,0.456081,0.456081,https://journals.aps.org/prc/abstract/10.1103/PhysRevC.98.045203#supplemental
,,1.128,-0.108,0.124,,82.1,4.48089,0.230636,0.230636,0.26792,0.26792,0.395578,0.172215,0.172215,0.0775448,0.0775448,
,,1.128,-0.108,0.124,,97.1,3.67356,0.19945,0.19945,0.259276,0.259276,0.838923,0.151479,0.151479,0.107701,0.107701,
,,1.128,-0.108,0.124,,112.2,2.72219,0.174966,0.174966,0.288682,0.288682,0.199179,0.131733,0.131733,0.0594735,0.0594735,
,,1.129,-0.108,0.124,,127.3,2.60113,0.188421,0.188421,0.235225,0.235225,0.0267859,0.141649,0.141649,0.089167,0.089167,
,,1.129,-0.108,0.124,,142.3,2.22732,0.139138,0.139138,0.165856,0.165856,0.306326,0.104793,0.104793,0.0393211,0.0393211,
,,1.129,-0.108,0.124,,157.4,2.54805,0.174241,0.174241,0.194695,0.194695,0.262004,0.129722,0.129722,0.0413562,0.0413562,
,,1.129,-0.108,0.124,,172.5,2.01117,0.173697,0.173697,0.123878,0.123878,0.211324,0.132531,0.132531,0.0426463,0.0426463,
,,1.129,-0.108,0.124,,187.5,1.66588,0.128305,0.128305,0.11428,0.11428,0.021427,0.0971215,0.0971215,0.020927,0.020927,
,,1.129,-0.108,0.124,,202.6,1.86272,0.124161,0.124161,0.132976,0.132976,-0.174743,0.0939731,0.0939731,0.0245524,0.0245524,
,,1.129,-0.108,0.124,,217.7,2.34963,0.151554,0.151554,0.226496,0.226496,-0.241364,0.114368,0.114368,0.123239,0.123239,
,,1.129,-0.108,0.124,,232.7,2.44595,0.187047,0.187047,0.175893,0.175893,-0.257499,0.142522,0.142522,0.144474,0.144474,
,,1.128,-0.108,0.124,,247.8,2.6125,0.158756,0.158756,0.175341,0.175341,-0.309317,0.119789,0.119789,0.0749128,0.0749128,
,,1.128,-0.108,0.124,,262.9,3.55218,0.177906,0.177906,0.242733,0.242733,-0.622821,0.133366,0.133366,0.0826876,0.0826876,
,,1.128,-0.108,0.124,,277.9,4.96439,0.23777,0.23777,0.338018,0.338018,-0.681078,0.176323,0.176323,0.0693894,0.0693894,
,,1.129,-0.108,0.125,,292.8,6.39821,0.4466,0.4466,0.580949,0.580949,0.107549,0.336212,0.336212,0.219587,0.219587,
,,1.128,-0.153,0.124,,66.9,3.80592,0.219598,0.219598,0.240585,0.240585,1.06525,0.170629,0.170629,0.220958,0.220958,
,,1.129,-0.153,0.124,,82,2.63145,0.122765,0.122765,0.165785,0.165785,0.351715,0.0919505,0.0919505,0.0661009,0.0661009,
,,1.129,-0.152,0.124,,97.1,1.75876,0.081886,0.081886,0.131429,0.131429,0.552447,0.0640839,0.0640839,0.0523904,0.0523904,
,,1.129,-0.152,0.125,,112.2,1.42657,0.0803615,0.0803615,0.0981944,0.0981944,0.180936,0.0612163,0.0612163,0.0365832,0.0365832,
,,1.129,-0.152,0.125,,127.3,1.24548,0.0820918,0.0820918,0.202015,0.202015,0.210245,0.0636223,0.0636223,0.0714662,0.0714662,
,,1.13,-0.152,0.124,,142.3,1.12764,0.0663176,0.0663176,0.0780655,0.0780655,0.0682372,0.0500987,0.0500987,0.0139899,0.0139899,
,,1.13,-0.152,0.124,,157.4,1.19873,0.0720936,0.0720936,0.0906194,0.0906194,0.0529742,0.0540585,0.0540585,0.012694,0.012694,
,,1.13,-0.152,0.124,,172.5,0.963089,0.0669704,0.0669704,0.0692636,0.0692636,0.116997,0.0513372,0.0513372,0.0241511,0.0241511,
,,1.13,-0.152,0.124,,187.5,1.27667,0.0983519,0.0983519,0.12839,0.12839,0.067353,0.0751447,0.0751447,0.0710007,0.0710007,
,,1.13,-0.152,0.124,,202.6,1.12918,0.0682252,0.0682252,0.0785955,0.0785955,-0.0774474,0.0511901,0.0511901,0.0197149,0.0197149,
,,1.13,-0.152,0.124,,217.7,1.05369,0.0571811,0.0571811,0.0751182,0.0751182,-0.0832754,0.0437991,0.0437991,0.0331682,0.0331682,
,,1.129,-0.152,0.125,,232.7,1.39869,0.0913579,0.0913579,0.122185,0.122185,-0.10155,0.0700132,0.0700132,0.024361,0.024361,
,,1.129,-0.152,0.125,,247.8,1.72504,0.101823,0.101823,0.134458,0.134458,-0.290883,0.0774344,0.0774344,0.033072,0.033072,
,,1.129,-0.152,0.124,,262.9,1.76737,0.0789149,0.0789149,0.11684,0.11684,-0.219917,0.0594524,0.0594524,0.0538194,0.0538194,
