bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D4_sigma (nb/Gev^4),D4_sigma_stat_plus,D4_sigma_stat_minus,D4_sigma_sys_plus,D4_sigma_sys_minus,link
,,1.129,0.108,0.125,,67.2,,,,,,4.8336,0.331067,0.331067,0.869408,0.869408,https://journals.aps.org/prc/abstract/10.1103/PhysRevC.98.045203#supplemental
,,1.128,0.108,0.124,,82.1,,,,,,4.48089,0.230636,0.230636,0.26792,0.26792,
,,1.128,0.108,0.124,,97.1,,,,,,3.67356,0.19945,0.19945,0.259276,0.259276,
,,1.128,0.108,0.124,,112.2,,,,,,2.72219,0.174966,0.174966,0.288682,0.288682,
,,1.129,0.108,0.124,,127.3,,,,,,2.60113,0.188421,0.188421,0.235225,0.235225,
,,1.129,0.108,0.124,,142.3,,,,,,2.22732,0.139138,0.139138,0.165856,0.165856,
,,1.129,0.108,0.124,,157.4,,,,,,2.54805,0.174241,0.174241,0.194695,0.194695,
,,1.129,0.108,0.124,,172.5,,,,,,2.01117,0.173697,0.173697,0.123878,0.123878,
,,1.129,0.108,0.124,,187.5,,,,,,1.66588,0.128305,0.128305,0.11428,0.11428,
,,1.129,0.108,0.124,,202.6,,,,,,1.86272,0.124161,0.124161,0.132976,0.132976,
,,1.129,0.108,0.124,,217.7,,,,,,2.34963,0.151554,0.151554,0.226496,0.226496,
,,1.129,0.108,0.124,,232.7,,,,,,2.44595,0.187047,0.187047,0.175893,0.175893,
,,1.128,0.108,0.124,,247.8,,,,,,2.6125,0.158756,0.158756,0.175341,0.175341,
,,1.128,0.108,0.124,,262.9,,,,,,3.55218,0.177906,0.177906,0.242733,0.242733,
,,1.128,0.108,0.124,,277.9,,,,,,4.96439,0.23777,0.23777,0.338018,0.338018,
,,1.129,0.108,0.125,,292.8,,,,,,6.39821,0.4466,0.4466,0.580949,0.580949,
,,1.128,0.153,0.124,,66.9,,,,,,3.80592,0.219598,0.219598,0.240585,0.240585,
,,1.129,0.153,0.124,,82,,,,,,2.63145,0.122765,0.122765,0.165785,0.165785,
,,1.129,0.152,0.124,,97.1,,,,,,1.75876,0.081886,0.081886,0.131429,0.131429,
,,1.129,0.152,0.125,,112.2,,,,,,1.42657,0.0803615,0.0803615,0.0981944,0.0981944,
,,1.129,0.152,0.125,,127.3,,,,,,1.24548,0.0820918,0.0820918,0.202015,0.202015,
,,1.13,0.152,0.124,,142.3,,,,,,1.12764,0.0663176,0.0663176,0.0780655,0.0780655,
,,1.13,0.152,0.124,,157.4,,,,,,1.19873,0.0720936,0.0720936,0.0906194,0.0906194,
,,1.13,0.152,0.124,,172.5,,,,,,0.963089,0.0669704,0.0669704,0.0692636,0.0692636,
,,1.13,0.152,0.124,,187.5,,,,,,1.27667,0.0983519,0.0983519,0.12839,0.12839,
,,1.13,0.152,0.124,,202.6,,,,,,1.12918,0.0682252,0.0682252,0.0785955,0.0785955,
,,1.13,0.152,0.124,,217.7,,,,,,1.05369,0.0571811,0.0571811,0.0751182,0.0751182,
,,1.129,0.152,0.125,,232.7,,,,,,1.39869,0.0913579,0.0913579,0.122185,0.122185,
,,1.129,0.152,0.125,,247.8,,,,,,1.72504,0.101823,0.101823,0.134458,0.134458,
,,1.129,0.152,0.124,,262.9,,,,,,1.76737,0.0789149,0.0789149,0.11684,0.11684,
,,1.129,0.153,0.124,,278,,,,,,2.52607,0.108515,0.108515,0.151675,0.151675,
,,1.128,0.153,0.124,,293.1,,,,,,3.70304,0.200294,0.200294,0.252744,0.252744,
,,1.129,0.203,0.125,,66.9,,,,,,2.13446,0.129663,0.129663,0.299184,0.299184,
,,1.129,0.203,0.125,,82,,,,,,1.88119,0.110114,0.110114,0.214335,0.214335,
,,1.129,0.203,0.125,,97.1,,,,,,1.09051,0.0606343,0.0606343,0.070694,0.070694,
,,1.13,0.203,0.125,,112.2,,,,,,1.13044,0.0769841,0.0769841,0.0883188,0.0883188,
,,1.13,0.203,0.125,,127.3,,,,,,0.886268,0.076002,0.076002,0.0534695,0.0534695,
,,1.13,0.203,0.125,,142.3,,,,,,0.851656,0.067449,0.067449,0.0597237,0.0597237,
,,1.13,0.203,0.125,,172.5,,,,,,0.781567,0.0726934,0.0726934,0.0573084,0.0573084,
,,1.13,0.203,0.125,,187.5,,,,,,0.643847,0.0602339,0.0602339,0.0731341,0.0731341,
,,1.13,0.203,0.125,,202.6,,,,,,0.625088,0.0465682,0.0465682,0.0552798,0.0552798,
,,1.13,0.203,0.125,,217.7,,,,,,0.780167,0.0560316,0.0560316,0.0568255,0.0568255,
,,1.13,0.203,0.125,,232.7,,,,,,0.921865,0.0762841,0.0762841,0.064901,0.064901,
,,1.13,0.203,0.125,,247.8,,,,,,0.923924,0.0663036,0.0663036,0.0620536,0.0620536,
,,1.129,0.203,0.125,,262.9,,,,,,1.23309,0.0692748,0.0692748,0.080133,0.080133,
,,1.129,0.203,0.125,,278,,,,,,1.47586,0.0738111,0.0738111,0.100911,0.100911,
,,1.129,0.203,0.125,,293.1,,,,,,2.88643,0.165375,0.165375,0.181995,0.181995,
,,1.129,0.263,0.125,,52.1,,,,,,3.32365,0.237301,0.237301,0.204194,0.204194,
,,1.129,0.262,0.125,,66.9,,,,,,1.67023,0.0980865,0.0980865,0.102681,0.102681,
,,1.13,0.261,0.125,,82,,,,,,1.06913,0.061701,0.061701,0.0765821,0.0765821,
,,1.13,0.261,0.125,,97.1,,,,,,0.780458,0.0434604,0.0434604,0.0487859,0.0487859,
,,1.13,0.261,0.125,,112.2,,,,,,0.720677,0.0504269,0.0504269,0.050215,0.050215,
,,1.13,0.261,0.125,,127.2,,,,,,0.590171,0.055665,0.055665,0.0448401,0.0448401,
,,1.13,0.261,0.125,,142.3,,,,,,0.604116,0.0532185,0.0532185,0.0414793,0.0414793,
,,1.131,0.261,0.125,,157.4,,,,,,0.453047,0.0367427,0.0367427,0.0311532,0.0311532,
,,1.131,0.261,0.125,,172.5,,,,,,0.430993,0.0393336,0.0393336,0.0369379,0.0369379,
,,1.131,0.261,0.125,,187.5,,,,,,0.461143,0.0482433,0.0482433,0.039574,0.039574,
,,1.131,0.261,0.125,,202.6,,,,,,0.40646,0.0338901,0.0338901,0.0299776,0.0299776,
,,1.13,0.261,0.125,,217.7,,,,,,0.47978,0.0370265,0.0370265,0.034939,0.034939,
,,1.13,0.261,0.125,,232.8,,,,,,0.516162,0.0400076,0.0400076,0.0575079,0.0575079,
,,1.13,0.261,0.125,,247.8,,,,,,0.640022,0.0514851,0.0514851,0.048953,0.048953,
,,1.13,0.261,0.125,,262.9,,,,,,0.75071,0.043088,0.043088,0.0490769,0.0490769,
,,1.13,0.261,0.125,,278,,,,,,1.11892,0.0588015,0.0588015,0.0791653,0.0791653,
,,1.129,0.262,0.125,,293.1,,,,,,1.58164,0.0803197,0.0803197,0.0977619,0.0977619,
,,1.129,0.263,0.125,,307.9,,,,,,1.95523,0.144641,0.144641,0.200922,0.200922,
,,1.13,0.34,0.125,,51.7,,,,,,1.46259,0.0723992,0.0723992,0.0918339,0.0918339,
,,1.13,0.34,0.125,,66.9,,,,,,0.888656,0.0488724,0.0488724,0.0557754,0.0557754,
,,1.13,0.34,0.125,,82,,,,,,0.673452,0.0424445,0.0424445,0.0501536,0.0501536,
,,1.13,0.34,0.125,,97.1,,,,,,0.395096,0.0245319,0.0245319,0.0266732,0.0266732,
