bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,Helc_diff_D^4_sigma (nb/Gev^4),Helc_diff_D^4_sigma_stat_plus,Helc_diff_D^4_sigma_stat_minus,Helc_diff_D^4_sigma_sys_plus,Helc_diff_D^4_sigma_sys_minus,link
,,1.129,0.108,0.125,,67.2,,,,,,0.758345,0.257278,0.257278,0.456081,0.456081,https://journals.aps.org/prc/abstract/10.1103/PhysRevC.98.045203
,,1.128,0.108,0.124,,82.1,,,,,,0.395578,0.172215,0.172215,0.0775448,0.0775448,
,,1.128,0.108,0.124,,97.1,,,,,,0.838923,0.151479,0.151479,0.107701,0.107701,
,,1.128,0.108,0.124,,112.2,,,,,,0.199179,0.131733,0.131733,0.0594735,0.0594735,
,,1.129,0.108,0.124,,127.3,,,,,,0.0267859,0.141649,0.141649,0.089167,0.089167,
,,1.129,0.108,0.124,,142.3,,,,,,0.306326,0.104793,0.104793,0.0393211,0.0393211,
,,1.129,0.108,0.124,,157.4,,,,,,0.262004,0.129722,0.129722,0.0413562,0.0413562,
,,1.129,0.108,0.124,,172.5,,,,,,0.211324,0.132531,0.132531,0.0426463,0.0426463,
,,1.129,0.108,0.124,,187.5,,,,,,0.021427,0.0971215,0.0971215,0.020927,0.020927,
,,1.129,0.108,0.124,,202.6,,,,,,-0.174743,0.0939731,0.0939731,0.0245524,0.0245524,
,,1.129,0.108,0.124,,217.7,,,,,,-0.241364,0.114368,0.114368,0.123239,0.123239,
,,1.129,0.108,0.124,,232.7,,,,,,-0.257499,0.142522,0.142522,0.144474,0.144474,
,,1.128,0.108,0.124,,247.8,,,,,,-0.309317,0.119789,0.119789,0.0749128,0.0749128,
,,1.128,0.108,0.124,,262.9,,,,,,-0.622821,0.133366,0.133366,0.0826876,0.0826876,
,,1.128,0.108,0.124,,277.9,,,,,,-0.681078,0.176323,0.176323,0.0693894,0.0693894,
,,1.129,0.108,0.125,,292.8,,,,,,0.107549,0.336212,0.336212,0.219587,0.219587,
,,1.128,0.153,0.124,,66.9,,,,,,1.06525,0.170629,0.170629,0.220958,0.220958,
,,1.129,0.153,0.124,,82,,,,,,0.351715,0.0919505,0.0919505,0.0661009,0.0661009,
,,1.129,0.152,0.124,,97.1,,,,,,0.552447,0.0640839,0.0640839,0.0523904,0.0523904,
,,1.129,0.152,0.125,,112.2,,,,,,0.180936,0.0612163,0.0612163,0.0365832,0.0365832,
,,1.129,0.152,0.125,,127.3,,,,,,0.210245,0.0636223,0.0636223,0.0714662,0.0714662,
,,1.13,0.152,0.124,,142.3,,,,,,0.0682372,0.0500987,0.0500987,0.0139899,0.0139899,
,,1.13,0.152,0.124,,157.4,,,,,,0.0529742,0.0540585,0.0540585,0.012694,0.012694,
,,1.13,0.152,0.124,,172.5,,,,,,0.116997,0.0513372,0.0513372,0.0241511,0.0241511,
,,1.13,0.152,0.124,,187.5,,,,,,0.067353,0.0751447,0.0751447,0.0710007,0.0710007,
,,1.13,0.152,0.124,,202.6,,,,,,-0.0774474,0.0511901,0.0511901,0.0197149,0.0197149,
,,1.13,0.152,0.124,,217.7,,,,,,-0.0832754,0.0437991,0.0437991,0.0331682,0.0331682,
,,1.129,0.152,0.125,,232.7,,,,,,-0.10155,0.0700132,0.0700132,0.024361,0.024361,
,,1.129,0.152,0.125,,247.8,,,,,,-0.290883,0.0774344,0.0774344,0.033072,0.033072,
,,1.129,0.152,0.124,,262.9,,,,,,-0.219917,0.0594524,0.0594524,0.0538194,0.0538194,
,,1.129,0.153,0.124,,278,,,,,,-0.458991,0.0819161,0.0819161,0.0361895,0.0361895,
,,1.128,0.153,0.124,,293.1,,,,,,-0.4769,0.150652,0.150652,0.102639,0.102639,
,,1.129,0.203,0.125,,66.9,,,,,,0.143307,0.0986694,0.0986694,0.0561343,0.0561343,
,,1.129,0.203,0.125,,82,,,,,,0.184084,0.0829563,0.0829563,0.0133001,0.0133001,
,,1.129,0.203,0.125,,97.1,,,,,,0.166507,0.04641,0.04641,0.0263816,0.0263816,
,,1.13,0.203,0.125,,112.2,,,,,,0.207083,0.0591291,0.0591291,0.0168452,0.0168452,
,,1.13,0.203,0.125,,127.3,,,,,,0.0924479,0.0587602,0.0587602,0.0202766,0.0202766,
,,1.13,0.203,0.125,,142.3,,,,,,0.0272374,0.0513139,0.0513139,0.012208,0.012208,
,,1.13,0.203,0.125,,172.5,,,,,,-0.0282117,0.0557704,0.0557704,0.0348893,0.0348893,
,,1.13,0.203,0.125,,187.5,,,,,,-0.0336179,0.046947,0.046947,0.0224928,0.0224928,
,,1.13,0.203,0.125,,202.6,,,,,,-0.0120838,0.0361743,0.0361743,0.0170531,0.0170531,
,,1.13,0.203,0.125,,217.7,,,,,,-0.13863,0.0441595,0.0441595,0.0259042,0.0259042,
,,1.13,0.203,0.125,,232.7,,,,,,-0.176231,0.0595001,0.0595001,0.0414536,0.0414536,
,,1.13,0.203,0.125,,247.8,,,,,,-0.195418,0.0517665,0.0517665,0.0490823,0.0490823,
,,1.129,0.203,0.125,,262.9,,,,,,-0.176735,0.0530038,0.0530038,0.0148944,0.0148944,
,,1.129,0.203,0.125,,278,,,,,,-0.277799,0.0564764,0.0564764,0.0269697,0.0269697,
,,1.129,0.203,0.125,,293.1,,,,,,-0.544628,0.124687,0.124687,0.0463807,0.0463807,
,,1.129,0.263,0.125,,52.1,,,,,,0.454538,0.179111,0.179111,0.0557638,0.0557638,
,,1.129,0.262,0.125,,66.9,,,,,,0.340414,0.0751387,0.0751387,0.0486572,0.0486572,
,,1.13,0.261,0.125,,82,,,,,,0.19792,0.0471302,0.0471302,0.019534,0.019534,
,,1.13,0.261,0.125,,97.1,,,,,,0.0529851,0.033017,0.033017,0.0117002,0.0117002,
,,1.13,0.261,0.125,,112.2,,,,,,0.13481,0.0390878,0.0390878,0.0159484,0.0159484,
,,1.13,0.261,0.125,,127.2,,,,,,-0.0267293,0.043645,0.043645,0.0487724,0.0487724,
,,1.13,0.261,0.125,,142.3,,,,,,0.116842,0.0417098,0.0417098,0.022097,0.022097,
,,1.131,0.261,0.125,,157.4,,,,,,0.0264656,0.028608,0.028608,0.00678316,0.00678316,
,,1.131,0.261,0.125,,172.5,,,,,,-0.0150625,0.0305896,0.0305896,0.0115829,0.0115829,
,,1.131,0.261,0.125,,187.5,,,,,,0.0928351,0.0388139,0.0388139,0.045109,0.045109,
,,1.131,0.261,0.125,,202.6,,,,,,-0.11681,0.0279344,0.0279344,0.014268,0.014268,
,,1.13,0.261,0.125,,217.7,,,,,,-0.110625,0.0292143,0.0292143,0.0290349,0.0290349,
,,1.13,0.261,0.125,,232.8,,,,,,-0.0827499,0.0317366,0.0317366,0.0185668,0.0185668,
,,1.13,0.261,0.125,,247.8,,,,,,-0.197751,0.0410491,0.0410491,0.0167893,0.0167893,
,,1.13,0.261,0.125,,262.9,,,,,,-0.126299,0.0333616,0.0333616,0.0120863,0.0120863,
,,1.13,0.261,0.125,,278,,,,,,-0.160702,0.0448231,0.0448231,0.0287007,0.0287007,
,,1.129,0.262,0.125,,293.1,,,,,,-0.217993,0.0606414,0.0606414,0.0185034,0.0185034,
,,1.129,0.263,0.125,,307.9,,,,,,-0.251275,0.113257,0.113257,0.194794,0.194794,
,,1.13,0.34,0.125,,51.7,,,,,,0.217321,0.0549601,0.0549601,0.0296864,0.0296864,
,,1.13,0.34,0.125,,66.9,,,,,,0.106034,0.0372484,0.0372484,0.0117748,0.0117748,
,,1.13,0.34,0.125,,82,,,,,,0.0769793,0.0324747,0.0324747,0.0132217,0.0132217,
,,1.13,0.34,0.125,,97.1,,,,,,0.0521081,0.0191482,0.0191482,0.00857316,0.00857316,
,,1.131,0.34,0.125,,112.2,,,,,,0.0425764,0.020359,0.020359,0.0165982,0.0165982,
,,1.131,0.34,0.125,,127.2,,,,,,0.0222516,0.0203444,0.0203444,0.0119401,0.0119401,
,,1.131,0.34,0.125,,142.3,,,,,,0.0567145,0.0198828,0.0198828,0.0056551,0.0056551,
