bin,k,q_squared,t,x_b,W,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,BSA,sig_BSA,link
,10.6,1.18516,-0.149945,0.102814,,0.0956332,,,,,,-0.00401505,0.0153526,https://doi.org/10.1103/PhysRevLett.130.211902
,10.6,1.18586,-0.148208,0.099858,,0.285004,,,,,,0.063576,0.0164779,
,10.6,1.18194,-0.15012,0.0947776,,0.470248,,,,,,0.0983536,0.0173404,
,10.6,1.17988,-0.151467,0.0888319,,0.657727,,,,,,0.145918,0.0168122,
,10.6,1.17857,-0.152116,0.0824138,,0.846992,,,,,,0.165289,0.0183801,
,10.6,1.16788,-0.150373,0.0782282,,1.02486,,,,,,0.226742,0.0220662,
,10.6,1.15671,-0.144887,0.0774572,,1.2117,,,,,,0.170445,0.0358811,
,10.6,1.1555,-0.140749,0.082693,,1.39714,,,,,,0.201054,0.0512921,
,10.6,1.15122,-0.150041,0.104445,,1.63923,,,,,,0.196896,0.0689447,
,10.6,1.19062,-0.155099,0.107031,,1.85155,,,,,,0.19516,0.0806462,
,10.6,1.1814,-0.155653,0.102218,,2.05259,,,,,,0.22057,0.058886,
,10.6,1.17967,-0.160727,0.101209,,2.23179,,,,,,0.102624,0.0593524,
,10.6,1.15607,-0.163499,0.100587,,2.42405,,,,,,0.153486,0.0460841,
,10.6,1.15556,-0.163251,0.0983155,,2.60851,,,,,,0.197954,0.0476778,
,10.6,1.16136,-0.165462,0.0985263,,2.79357,,,,,,0.0944589,0.0478898,
,10.6,1.16555,-0.168255,0.100614,,2.97903,,,,,,-0.000287466,0.0581132,
,10.6,1.1525,-0.16482,0.0976829,,3.16555,,,,,,0.051989,0.064546,
,10.6,1.16772,-0.16385,0.0992419,,3.36159,,,,,,-0.093807,0.0695206,
,10.6,1.17179,-0.161178,0.10016,,3.5479,,,,,,-0.00275131,0.0675397,
,10.6,1.16174,-0.162129,0.104059,,3.7336,,,,,,-0.181496,0.0858614,
,10.6,1.17603,-0.162285,0.10936,,4.02357,,,,,,-0.434516,0.101771,
,10.6,1.14054,-0.154093,0.0814467,,4.78751,,,,,,-0.396749,0.129083,
,10.6,1.15723,-0.15134,0.076309,,5.00972,,,,,,-0.138658,0.0578388,
,10.6,1.15929,-0.151423,0.0768801,,5.19377,,,,,,-0.209361,0.0319571,
,10.6,1.1773,-0.152208,0.0807721,,5.37697,,,,,,-0.21347,0.0210983,
,10.6,1.182,-0.152337,0.0864401,,5.56123,,,,,,-0.153312,0.0188983,
,10.6,1.18075,-0.151478,0.0924334,,5.7458,,,,,,-0.0964044,0.017923,
,10.6,1.18546,-0.15162,0.0980345,,5.9331,,,,,,-0.152948,0.0189522,
,10.6,1.18639,-0.149888,0.10224,,6.15683,,,,,,-0.0428874,0.0157058,
,10.6,1.17135,-0.16118,0.172113,,0.0968203,,,,,,0.00788785,0.0404457,
,10.6,1.17569,-0.161934,0.170861,,0.280193,,,,,,0.111085,0.0357623,
,10.6,1.20466,-0.154625,0.167539,,0.465177,,,,,,0.13975,0.041485,
,10.6,1.20942,-0.155138,0.167812,,0.654125,,,,,,0.253767,0.0494776,
