bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,link
,,8.75,,,82,,3.59,0.21,-0.21,0.41,-0.41,https://doi.org/10.1016/j.physletb.2007.11.093
,,15.5,,,82,,1.38,0.1,-0.1,0.21,-0.21,
,,25,,,82,,0.58,0.09,-0.09,0.09,-0.09,
,,55,,,82,,0.13,0.03,-0.03,0.04,-0.04,
,,8,,,45,,2.91,0.2,-0.2,0.25,-0.25,
,,8,,,70,,3.96,0.32,-0.32,0.37,-0.37,
,,8,,,90,,4.78,0.41,-0.41,0.57,-0.57,
,,8,,,110,,5.55,0.57,-0.57,0.88,-0.88,
,,8,,,130,,6.56,1.17,-1.17,1.77,-1.77,
,,8,,,45,,2.6,0.24,-0.24,0.24,-0.24,
,,8,,,70,,3.15,0.4,-0.4,0.33,-0.33,
,,8,,,90,,5.25,0.55,-0.55,0.55,-0.55,
,,8,,,110,,5.11,0.71,-0.71,0.76,-0.76,
,,8,,,130,,5.88,1.89,-1.89,1.26,-1.26,
,,15.5,,,45,,0.94,0.1,-0.1,0.1,-0.1,
,,15.5,,,70,,1.54,0.17,-0.17,0.14,-0.14,
,,15.5,,,90,,0.95,0.2,-0.2,0.17,-0.17,
,,15.5,,,110,,1.69,0.31,-0.31,0.33,-0.33,
,,15.5,,,130,,2.06,0.51,-0.51,0.56,-0.56,
,,25,,,45,,0.35,0.13,-0.13,0.07,-0.07,
,,25,,,70,,0.36,0.1,-0.1,0.05,-0.05,
,,25,,,90,,0.83,0.18,-0.18,0.09,-0.09,
,,25,,,110,,0.9,0.23,-0.23,0.18,-0.18,
,,25,,,130,,0.9,0.36,-0.36,0.32,-0.32,
