bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,t_min,t_max,dsigma/dt [nb/GeV^2],dsigma_stat_plus,dsigma_stat_minus,dsigma_sys_plus,dsigma_sys_minus,Slope [GeV^-2],slope_stat_plus,slope_stat_minus,slope_sys_plus,slope_sys_minus,link
,,8,0.1,,82,,,,,,,0,0.2,13.1,1.1,-1.1,1.85,-1.85,5.84,0.3,-0.3,0.35,-0.35,https://doi.org/10.1016/j.physletb.2007.11.093
,,8,0.3,,82,,,,,,,0.2,0.4,4.69,0.45,-0.45,0.55,-0.55,5.84,0.3,-0.3,0.35,-0.35,
,,8,0.5,,82,,,,,,,0.4,0.6,1.37,0.21,-0.21,0.23,-0.23,5.84,0.3,-0.3,0.35,-0.35,
,,8,0.8,,82,,,,,,,0.6,1,0.19,0.04,-0.04,0.06,-0.06,5.84,0.3,-0.3,0.35,-0.35,
,,15.5,0.1,,82,,,,,,,0,0.2,4.37,0.47,-0.47,0.86,-0.86,5.16,0.26,-0.26,0.3,-0.3,
,,15.5,0.3,,82,,,,,,,0.2,0.4,1.02,0.16,-0.16,0.18,-0.18,5.16,0.26,-0.26,0.3,-0.3,
,,15.5,0.5,,82,,,,,,,0.4,0.6,0.49,0.08,-0.08,0.08,-0.08,5.16,0.26,-0.26,0.3,-0.3,
,,15.5,0.8,,82,,,,,,,0.6,1,0.12,0.02,-0.02,0.02,-0.02,5.16,0.26,-0.26,0.3,-0.3,
,,25,0.1,,82,,,,,,,0,0.2,1.41,0.4,-0.4,0.43,-0.43,5.09,0.55,-0.55,0.6,-0.6,
,,25,0.3,,82,,,,,,,0.2,0.4,0.71,0.16,-0.16,0.08,-0.08,5.09,0.55,-0.55,0.6,-0.6,
,,25,0.5,,82,,,,,,,0.4,0.6,0.28,0.07,-0.07,0.04,-0.04,5.09,0.55,-0.55,0.6,-0.6,
,,25,0.8,,82,,,,,,,0.6,1,0.04,0.01,-0.01,0.02,-0.02,5.09,0.55,-0.55,0.6,-0.6,
,,10,0.1,,40,,,,,,,0,0.2,4.99,0.66,-0.66,0.54,-0.54,5.4,0.4,-0.4,0.25,-0.25,
,,10,0.3,,40,,,,,,,0.2,0.4,1.45,0.29,-0.29,0.18,-0.18,5.4,0.4,-0.4,0.25,-0.25,
,,10,0.5,,40,,,,,,,0.4,0.6,0.49,0.14,-0.14,0.08,-0.08,5.4,0.4,-0.4,0.25,-0.25,
,,10,0.8,,40,,,,,,,0.6,1,0.12,0.03,-0.03,0.03,-0.03,5.4,0.4,-0.4,0.25,-0.25,
,,10,0.1,,70,,,,,,,0,0.2,7.78,0.69,-0.69,0.87,-0.87,5.34,0.25,-0.25,0.27,-0.27,
,,10,0.3,,70,,,,,,,0.2,0.4,2.74,0.31,-0.31,0.3,-0.3,5.34,0.25,-0.25,0.27,-0.27,
,,10,0.5,,70,,,,,,,0.4,0.6,0.81,0.14,-0.14,0.11,-0.11,5.34,0.25,-0.25,0.27,-0.27,
,,10,0.8,,70,,,,,,,0.6,1,0.19,0.03,-0.03,0.03,-0.03,5.34,0.25,-0.25,0.27,-0.27,
,,10,0.1,,100,,,,,,,0,0.2,10.9,1.14,-1.14,2.36,-2.36,5.48,0.31,-0.31,0.45,-0.45,
,,10,0.3,,100,,,,,,,0.2,0.4,3.47,0.42,-0.42,0.53,-0.53,5.48,0.31,-0.31,0.45,-0.45,
,,10,0.5,,100,,,,,,,0.4,0.6,1.49,0.21,-0.21,0.24,-0.24,5.48,0.31,-0.31,0.45,-0.45,
,,10,0.8,,100,,,,,,,0.6,1,0.19,0.04,-0.04,0.06,-0.06,5.48,0.31,-0.31,0.45,-0.45,
