bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,t_min,t_max,dsigma/dt [nb/GeV^2],dsigma/dt_stat_plus,dsigma/dt_stat_minus,dsigma/dt_sys_plus,dsigma/dt_sys_minus,link
,,8,0.1,,40,,,,,,,0,0.2,8.1,1.22,-1.22,0.82,-0.82,https://doi.org/10.1016/j.physletb.2007.11.093
,,8,0.3,,40,,,,,,,0.2,0.4,2.3,0.54,-0.54,0.28,-0.28,
,,8,0.5,,40,,,,,,,0.4,0.6,0.45,0.22,-0.22,0.1,-0.1,
,,8,0.8,,40,,,,,,,0.6,1,0.16,0.06,-0.06,0.03,-0.03,
,,8,0.1,,70,,,,,,,0,0.2,10,1.3,-1.3,1.27,-1.27,
,,8,0.3,,70,,,,,,,0.2,0.4,4.35,0.63,-0.63,0.46,-0.46,
,,8,0.5,,70,,,,,,,0.4,0.6,1.08,0.27,-0.27,0.17,-0.17,
,,8,0.8,,70,,,,,,,0.6,1,0.13,0.06,-0.06,0.04,-0.04,
,,8,0.1,,100,,,,,,,0,0.2,16,2.11,-2.11,2.74,-2.74,
,,8,0.3,,100,,,,,,,0.2,0.4,5.45,0.8,-0.8,0.73,-0.73,
,,8,0.5,,100,,,,,,,0.4,0.6,1.96,0.41,-0.41,0.35,-0.35,
,,8,0.8,,100,,,,,,,0.6,1,0.21,0.09,-0.09,0.08,-0.08,
,,20,0.1,,40,,,,,,,0,0.2,1.06,0.28,-0.28,0.28,-0.28,
,,20,0.3,,40,,,,,,,0.2,0.4,0.33,0.07,-0.07,0.07,-0.07,
,,20,0.5,,40,,,,,,,0.4,0.6,0.22,0.06,-0.06,0.06,-0.06,
,,20,0.8,,40,,,,,,,0.6,1,0.04,0.01,-0.01,0.01,-0.01,
,,20,0.1,,70,,,,,,,0,0.2,2.38,0.29,-0.29,0.26,-0.26,
,,20,0.3,,70,,,,,,,0.2,0.4,0.67,0.12,-0.12,0.07,-0.07,
,,20,0.5,,70,,,,,,,0.4,0.6,0.24,0.05,-0.05,0.03,-0.03,
,,20,0.8,,70,,,,,,,0.6,1,0.07,0.01,-0.01,0.02,-0.02,
,,20,0.1,,100,,,,,,,0,0.2,2.98,0.49,-0.49,0.85,-0.85,
,,20,0.3,,100,,,,,,,0.2,0.4,0.89,0.17,-0.17,0.17,-0.17,
,,20,0.5,,100,,,,,,,0.4,0.6,0.44,0.08,-0.08,0.08,-0.08,
,,20,0.8,,100,,,,,,,0.6,1,0.06,0.02,-0.02,0.02,-0.02,
