bin,k,q_squared,t,x_b,W,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,W_min,W_max,link
,,8,,,45,,3.06,0.18,-0.18,0.25,-0.25,30,60,https://doi.org/10.1016/j.physletb.2009.10.035
,,8,,,70,,3.54,0.29,-0.29,0.34,-0.34,60,80,
,,8,,,90,,4.93,0.39,-0.39,0.52,-0.52,80,100,
,,8,,,110,,5.16,0.51,-0.51,0.74,-0.74,100,120,
,,8,,,130,,5.62,1.34,-1.34,1.19,-1.19,120,140,
,,15.5,,,45,,0.98,0.07,-0.07,0.08,-0.08,30,60,
,,15.5,,,70,,1.46,0.12,-0.12,0.12,-0.12,60,80,
,,15.5,,,90,,1.41,0.16,-0.16,0.17,-0.17,80,100,
,,15.5,,,110,,1.66,0.23,-0.23,0.28,-0.28,100,120,
,,15.5,,,130,,2,0.37,-0.37,0.47,-0.47,120,140,
,,25,,,45,,0.31,0.11,-0.11,0.05,-0.05,30,60,
,,25,,,70,,0.52,0.08,-0.08,0.06,-0.06,60,80,
,,25,,,90,,0.81,0.13,-0.13,0.09,-0.09,80,100,
,,25,,,110,,0.63,0.17,-0.17,0.15,-0.15,100,120,
,,25,,,130,,0.8,0.26,-0.26,0.29,-0.29,120,140,
