bin,k,q_squared,t,x_b,w,phi,dsigma/dt [nb/GeV^2],dsigma/dt_stat_plus,dsigma/dt_stat_minus,dsigma/dt_sys_plus,dsigma/dt_sys_minus,Slope [GeV^-2],Slope_stat_plus,Slope_stat_minus,Slope_sys_plus,Slope_sys_minus,link
,,8,-0.1,,82,,13.3,0.8,-0.8,1.73,-1.73,5.87,0.2,0.2,0.32,0.32,https://doi.org/10.1016/j.physletb.2009.10.035
,,8,-0.3,,82,,4.82,0.32,-0.32,0.5,-0.5,5.87,0.2,0.2,0.32,0.32,
,,8,-0.5,,82,,1.26,0.14,-0.14,0.18,-0.18,5.87,0.2,0.2,0.32,0.32,
,,8,-0.8,,82,,0.21,0.03,-0.03,0.04,-0.04,5.87,0.2,0.2,0.32,0.32,
,,15.5,-0.1,,82,,4.33,0.35,-0.35,0.65,-0.65,5.45,0.2,0.2,0.29,0.29,
,,15.5,-0.3,,82,,1.24,0.13,-0.13,0.16,-0.16,5.45,0.2,0.2,0.29,0.29,
,,15.5,-0.5,,82,,0.45,0.06,-0.06,0.05,-0.05,5.45,0.2,0.2,0.29,0.29,
,,15.5,-0.8,,82,,0.1,0.01,-0.01,0.02,-0.02,5.45,0.2,0.2,0.29,0.29,
,,25,-0.1,,82,,1.68,0.31,-0.31,0.42,-0.42,5.1,0.38,0.38,0.37,0.37,
,,25,-0.3,,82,,0.49,0.1,-0.1,0.08,-0.08,5.1,0.38,0.38,0.37,0.37,
,,25,-0.5,,82,,0.18,0.04,-0.04,0.03,-0.03,5.1,0.38,0.38,0.37,0.37,
,,25,-0.8,,82,,0.05,0.01,-0.01,0.01,-0.01,5.1,0.38,0.38,0.37,0.37,
,,10,-0.1,,40,,4.77,0.5,-0.5,0.49,-0.49,5.38,0.3,0.3,0.23,0.23,
,,10,-0.3,,40,,1.62,0.23,-0.23,0.18,-0.18,5.38,0.3,0.3,0.23,0.23,
,,10,-0.5,,40,,0.69,0.11,-0.11,0.07,-0.07,5.38,0.3,0.3,0.23,0.23,
,,10,-0.8,,40,,0.1,0.02,-0.02,0.01,-0.01,5.38,0.3,0.3,0.23,0.23,
,,10,-0.1,,70,,7.81,0.51,-0.51,0.85,-0.85,5.49,0.19,0.19,0.26,0.26,
,,10,-0.3,,70,,2.88,0.22,-0.22,0.28,-0.28,5.49,0.19,0.19,0.26,0.26,
,,10,-0.5,,70,,0.91,0.1,-0.1,0.1,-0.1,5.49,0.19,0.19,0.26,0.26,
,,10,-0.8,,70,,0.16,0.02,-0.02,0.02,-0.02,5.49,0.19,0.19,0.26,0.26,
,,10,-0.1,,100,,11,0.85,-0.85,2.23,-2.23,5.49,0.2,0.2,0.35,0.35,
,,10,-0.3,,100,,3.71,0.31,-0.31,0.49,-0.49,5.49,0.2,0.2,0.35,0.35,
,,10,-0.5,,100,,1.18,0.13,-0.13,0.16,-0.16,5.49,0.2,0.2,0.35,0.35,
,,10,-0.8,,100,,0.24,0.03,-0.03,0.04,-0.04,5.49,0.2,0.2,0.35,0.35,
