bin,k,q_squared,t,x_b,w_min_w_max,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,link
12,27.5,2.4,,,40,65,27.06,3.44,3.44,4.37,4.42,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
13,27.5,2.4,,,65,90,22.36,3.11,3.11,3.4,1.73,
14,27.5,2.4,,,90,115,26.49,1.89,1.89,0.89,1.44,
15,27.5,2.4,,,115,140,35.94,2.63,2.63,1.81,1.89,
16,27.5,2.4,,,140,170,35.72,9.47,9.47,3.01,2.94,
17,27.5,6.2,,,40,65,16.93,2.43,2.43,1.37,1.4,
18,27.5,6.2,,,65,90,16.93,2.43,2.43,1.37,1.4,
19,27.5,6.2,,,90,115,16.93,2.43,2.43,1.37,1.4,
20,27.5,6.2,,,15,140,16.93,2.43,2.43,1.37,1.4,
21,27.5,6.2,,,140,170,16.93,2.43,2.43,1.37,1.4,
22,27.5,9.9,,,40,65,6.15,1.67,1.67,0.51,0.51,
23,27.5,9.9,,,65,90,6.15,1.67,1.67,0.51,0.51,
24,27.5,9.9,,,90,115,6.15,1.67,1.67,0.51,0.51,
25,27.5,9.9,,,15,140,6.15,1.67,1.67,0.51,0.51,
26,27.5,9.9,,,140,170,6.15,1.67,1.67,0.51,0.51,
27,27.5,18,,,40,65,2.21,0.82,0.82,0.18,0.18,
28,27.5,18,,,65,90,2.21,0.82,0.82,0.18,0.18,
29,27.5,18,,,90,115,2.21,0.82,0.82,0.18,0.18,
30,27.5,18,,,15,140,2.21,0.82,0.82,0.18,0.18,
31,27.5,18,,,140,170,2.21,0.82,0.82,0.18,0.18,
