bin,k,q_squared,t,x_b,w,phi,ALU_sin_PHI,ALU_sin_PHI_sys_plus,ALU_sin_PHI_sys_minus,ALU_sin_PHI_stat_plus,ALU_sin_PHI_stat_minus,ALU_sin_2PHI,ALU_sin_2PHI_sys_plus,ALU_sin_2PHI_sys_minus,ALU_sin_2PHI_stat_plus,ALU_sin_2PHI_stat_minus,link
1,,2.13,-0.037,0.084,,,-0.342,0.047,0.047,0.016,0.016,-0.01,0.048,0.048,0.005,0.005,https://doi.org/10.1007/JHEP10(2012)042
2,,2.51,-0.095,0.1,,,-0.256,0.045,0.045,0.014,0.014,0.06,0.044,0.044,0.008,0.008,
3,,3.01,-0.201,0.115,,,-0.409,0.053,0.053,0.015,0.015,-0.044,0.052,0.052,0.011,0.011,
4,,3.87,-0.408,0.131,,,-0.336,0.094,0.094,0.022,0.022,0.073,0.098,0.098,0.007,0.007,
1,,1.47,-0.112,0.055,,,-0.302,0.047,0.047,0.066,0.066,-0.003,0.047,0.047,0.01,0.01,
2,,2.16,-0.11,0.084,,,-0.345,0.05,0.05,0.053,0.053,0.013,0.05,0.05,0.012,0.012,
3,,3.14,-0.132,0.122,,,-0.391,0.055,0.055,0.043,0.043,0.104,0.054,0.054,0.005,0.005,
4,,5.06,-0.198,0.197,,,-0.262,0.075,0.075,0.027,0.027,-0.081,0.075,0.075,0,0,
1,,1.25,-0.097,0.058,,,-0.306,0.054,0.054,0.057,0.057,0.003,0.053,0.053,0.024,0.024,
2,,1.87,-0.11,0.08,,,-0.346,0.049,0.049,0.053,0.053,0.018,0.049,0.049,0.004,0.004,
3,,2.84,-0.131,0.108,,,-0.298,0.053,0.053,0.047,0.047,0.009,0.053,0.053,0.006,0.006,
4,,4.89,-0.188,0.17,,,-0.365,0.058,0.058,0.032,0.032,0.032,0.059,0.059,0,0,
