bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,cos_theta*gamma_gamma (fb/(MeV sr2)),D5_sigma,D5_sigma_stat_plus,D5_sigma_stat_minus,D5_sigma_sys_plus,D5_sigma_sys_minus,link
,,1,,,0.99,15,,,,,,-0.975,,,,,,https://doi.org/10.1103/PhysRevC.79.015201
,,1,,,1.01,15,,,,,,-0.975,14.9,5.4,5.4,5.6,5.6,
,,1,,,1.03,15,,,,,,-0.975,8.1,4.1,4.1,4.3,4.3,
,,1,,,1.05,15,,,,,,-0.975,28.4,8.3,8.3,4.7,4.7,
,,1,,,1.07,15,,,,,,-0.975,14.6,6.8,6.8,4,4,
,,1,,,1.09,15,,,,,,-0.975,29,10,10,4,4,
,,1,,,1.11,15,,,,,,-0.975,14.4,6.4,6.4,5,5,
,,1,,,1.13,15,,,,,,-0.975,36,11,11,7,7,
,,1,,,1.15,15,,,,,,-0.975,30,9,9,15,15,
,,1,,,1.17,15,,,,,,-0.975,54,12,12,9,9,
,,1,,,1.19,15,,,,,,-0.975,94,16,16,7,7,
,,1,,,1.21,15,,,,,,-0.975,119,18,18,17,17,
,,1,,,1.23,15,,,,,,-0.975,111,16,16,13,13,
,,1,,,1.25,15,,,,,,-0.975,51,11,11,12,12,
,,1,,,1.27,15,,,,,,-0.975,41.3,9.2,9.2,7.1,7.1,
,,1,,,1.29,15,,,,,,-0.975,45.2,7.9,7.9,4.5,4.5,
,,1,,,1.31,15,,,,,,-0.975,29,7,7,15,15,
,,1,,,1.33,15,,,,,,-0.975,41,8,8,10,10,
,,1,,,1.35,15,,,,,,-0.975,19.9,4.8,4.8,4.4,4.4,
,,1,,,1.37,15,,,,,,-0.975,17.5,4.1,4.1,4.3,4.3,
,,1,,,1.39,15,,,,,,-0.975,18,3.8,3.8,3.1,3.1,
,,1,,,1.41,15,,,,,,-0.975,23,4.3,4.3,1.3,1.3,
,,1,,,1.43,15,,,,,,-0.975,23.9,4.8,4.8,2.3,2.3,
,,1,,,1.45,15,,,,,,-0.975,15.6,4.9,4.9,4.1,4.1,
,,1,,,1.47,15,,,,,,-0.975,34.3,7.4,7.4,2.9,2.9,
,,1,,,1.49,15,,,,,,-0.975,41.5,7.8,7.8,4,4,
,,1,,,1.51,15,,,,,,-0.975,36.5,6.7,6.7,4.6,4.6,
,,1,,,1.53,15,,,,,,-0.975,39.8,6.7,6.7,4.7,4.7,
,,1,,,1.55,15,,,,,,-0.975,37.1,6.3,6.3,2.5,2.5,
,,1,,,1.57,15,,,,,,-0.975,15.6,3.9,3.9,3.8,3.8,
,,1,,,1.59,15,,,,,,-0.975,18.5,3.9,3.9,1.3,1.3,
,,1,,,1.61,15,,,,,,-0.975,18.1,3.7,3.7,3.4,3.4,
,,1,,,1.63,15,,,,,,-0.975,19,4,4,2.2,2.2,
,,1,,,1.65,15,,,,,,-0.975,20.4,4.1,4.1,3.3,3.3,
,,1,,,1.67,15,,,,,,-0.975,17.7,3.6,3.6,3.4,3.4,
,,1,,,1.69,15,,,,,,-0.975,10.8,3.2,3.2,2.6,2.6,
,,1,,,1.71,15,,,,,,-0.975,13.1,3.7,3.7,3.8,3.8,
,,1,,,1.73,15,,,,,,-0.975,3.4,2.4,2.4,3,3,
,,1,,,1.75,15,,,,,,-0.975,17.2,3.5,3.5,2,2,
,,1,,,1.77,15,,,,,,-0.975,4.2,2.9,2.9,5.4,5.4,
,,1,,,1.79,15,,,,,,-0.975,5.6,2.6,2.6,3.3,3.3,
,,1,,,1.81,15,,,,,,-0.975,4.9,2,2,2,2,
,,1,,,1.83,15,,,,,,-0.975,8.2,1.9,1.9,1.1,1.1,
,,1,,,1.85,15,,,,,,-0.975,4.6,1.7,1.7,0.9,0.9,
,,1,,,1.87,15,,,,,,-0.975,4.6,1.9,1.9,1.2,1.2,
,,1,,,1.89,15,,,,,,-0.975,11,4,4,11,11,
,,1,,,1.91,15,,,,,,-0.975,10.1,2.6,2.6,1.9,1.9,
,,1,,,1.93,15,,,,,,-0.975,1.4,1.7,1.7,1.9,1.9,
,,1,,,1.95,15,,,,,,-0.975,5.2,1.8,1.8,1.9,1.9,
,,1,,,1.97,15,,,,,,-0.975,3.3,2.1,2.1,1.9,1.9,
,,1,,,0.99,45,,,,,,-0.975,,,,,,
,,1,,,1.01,45,,,,,,-0.975,60,32,32,36,36,
,,1,,,1.03,45,,,,,,-0.975,45,14,14,6,6,
,,1,,,1.05,45,,,,,,-0.975,41,13,13,15,15,
,,1,,,1.07,45,,,,,,-0.975,57,14,14,9,9,
,,1,,,1.09,45,,,,,,-0.975,39,11,11,10,10,
,,1,,,1.11,45,,,,,,-0.975,34,10,10,2,2,
,,1,,,1.13,45,,,,,,-0.975,46,10,10,7,7,
,,1,,,1.15,45,,,,,,-0.975,82,14,14,15,15,
,,1,,,1.17,45,,,,,,-0.975,103,16,16,8,8,
,,1,,,1.19,45,,,,,,-0.975,118,17,17,13,13,
,,1,,,1.21,45,,,,,,-0.975,117,17,17,20,20,
,,1,,,1.23,45,,,,,,-0.975,108,15,15,18,18,
,,1,,,1.25,45,,,,,,-0.975,78,12,12,11,11,
,,1,,,1.27,45,,,,,,-0.975,51.5,9.3,9.3,6.3,6.3,
,,1,,,1.29,45,,,,,,-0.975,40.3,7.6,7.6,7.1,7.1,
,,1,,,1.31,45,,,,,,-0.975,18,5.9,5.9,5.4,5.4,
,,1,,,1.33,45,,,,,,-0.975,33,6.1,6.1,3.1,3.1,
,,1,,,1.35,45,,,,,,-0.975,21.2,4.2,4.2,4.4,4.4,
,,1,,,1.37,45,,,,,,-0.975,21.6,3.7,3.7,2.1,2.1,
,,1,,,1.39,45,,,,,,-0.975,24.2,3.9,3.9,4,4,
,,1,,,1.41,45,,,,,,-0.975,20.3,4.2,4.2,2,2,
,,1,,,1.43,45,,,,,,-0.975,20.8,5,5,5.3,5.3,
,,1,,,1.45,45,,,,,,-0.975,24.8,6.1,6.1,3.2,3.2,
,,1,,,1.47,45,,,,,,-0.975,33.8,6.5,6.5,3.6,3.6,
,,1,,,1.49,45,,,,,,-0.975,41.5,6.8,6.8,4.2,4.2,
,,1,,,1.51,45,,,,,,-0.975,36.6,6.1,6.1,4,4,
,,1,,,1.53,45,,,,,,-0.975,39.9,6,6,5.4,5.4,
,,1,,,1.55,45,,,,,,-0.975,31.4,4.8,4.8,3.9,3.9,
,,1,,,1.57,45,,,,,,-0.975,19.7,3.8,3.8,3.5,3.5,
