bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,cos_theta*gamma_gamma,D5_sigma (fb/(MeV sr2)),D5_sigma_stat_plus,D5_sigma_stat_minus,D5_sigma_sys_plus,D5_sigma_sys_minus,link
,,0.7,,,1.45,15,,,,,,−0.975,,,,,,https://doi.org/10.1103/PhysRevC.79.015201
,,0.875,,,1.45,15,,,,,,−0.975,58,47,47,7,7,
,,0.925,,,1.45,15,,,,,,−0.975,,,,,,
,,0.975,,,1.45,15,,,,,,−0.975,34,17,17,4,4,
,,1.025,,,1.45,15,,,,,,−0.975,,,,,,
,,1.075,,,1.45,15,,,,,,−0.975,,,,,,
,,1.125,,,1.45,15,,,,,,−0.975,,,,,,
,,2.15,,,1.45,15,,,,,,−0.975,,,,,,
,,0.633,,,1.47,15,,,,,,−0.975,,,,,,
,,0.7,,,1.47,15,,,,,,−0.975,,,,,,
,,0.767,,,1.47,15,,,,,,−0.975,,,,,,
,,0.875,,,1.47,15,,,,,,−0.975,31,24,24,4,4,
,,0.925,,,1.47,15,,,,,,−0.975,73,21,21,9,9,
,,0.975,,,1.47,15,,,,,,−0.975,40,19,19,5,5,
,,1.025,,,1.47,15,,,,,,−0.975,,,,,,
,,1.075,,,1.47,15,,,,,,−0.975,154,111,111,18,18,
,,1.125,,,1.47,15,,,,,,−0.975,,,,,,
,,2.05,,,1.47,15,,,,,,−0.975,,,,,,
,,2.15,,,1.47,15,,,,,,−0.975,,,,,,
,,0.567,,,1.49,15,,,,,,−0.975,,,,,,
,,0.633,,,1.49,15,,,,,,−0.975,,,,,,
,,0.7,,,1.49,15,,,,,,−0.975,,,,,,
,,0.767,,,1.49,15,,,,,,−0.975,,,,,,
,,0.875,,,1.49,15,,,,,,−0.975,39,15,15,5,5,
,,0.925,,,1.49,15,,,,,,−0.975,89,23,23,11,11,
,,0.975,,,1.49,15,,,,,,−0.975,66,37,37,8,8,
,,1.025,,,1.49,15,,,,,,−0.975,95,51,51,11,11,
,,1.075,,,1.49,15,,,,,,−0.975,,,,,,
,,1.125,,,1.49,15,,,,,,−0.975,,,,,,
,,1.95,,,1.49,15,,,,,,−0.975,,,,,,
,,2.05,,,1.49,15,,,,,,−0.975,,,,,,
,,2.15,,,1.49,15,,,,,,−0.975,,,,,,
