bin,k,q_squared,t,x_b,w,phi,cos_theta*gamma_gamma,D2_sigma_d_omega (nb/sr),D2_sigma_d_omega_stat_plus,D2_sigma_d_omega_stat_minus,D2_sigma_d_omega_sys_plus,D2_sigma_d_omega_sys_minus,link
,,0.7,,,1.45,15,-0.975,,,,,,https://doi.org/10.1103/PhysRevC.79.015201
,,0.7,,,1.45,45,-0.975,,,,,,
,,0.7,,,1.45,75,-0.975,,,,,,
,,0.7,,,1.45,105,-0.975,,,,,,
,,0.7,,,1.45,135,-0.975,788,498,498,31.52,31.52,
,,0.7,,,1.45,165,-0.975,289,158,158,11.56,11.56,
,,0.767,,,1.45,15,-0.975,,,,,,
,,0.767,,,1.45,45,-0.975,,,,,,
,,0.767,,,1.45,75,-0.975,,,,,,
,,0.767,,,1.45,105,-0.975,,,,,,
,,0.767,,,1.45,135,-0.975,407,120,120,16.28,16.28,
,,0.767,,,1.45,165,-0.975,590,148,148,23.6,23.6,
,,0.875,,,1.45,15,-0.975,120,28,28,4.8,4.8,
,,0.875,,,1.45,45,-0.975,105,23,23,4.2,4.2,
,,0.875,,,1.45,75,-0.975,268,34,34,10.72,10.72,
,,0.875,,,1.45,105,-0.975,167,51,51,6.68,6.68,
,,0.875,,,1.45,135,-0.975,,,,,,
,,0.875,,,1.45,165,-0.975,,,,,,
,,0.925,,,1.45,15,-0.975,105,16,16,4.2,4.2,
,,0.925,,,1.45,45,-0.975,134,16,16,5.36,5.36,
,,0.925,,,1.45,75,-0.975,201,18,18,8.04,8.04,
,,0.925,,,1.45,105,-0.975,355,51,51,14.2,14.2,
,,0.925,,,1.45,135,-0.975,771,497,497,30.84,30.84,
,,0.925,,,1.45,165,-0.975,561,445,445,22.44,22.44,
,,0.975,,,1.45,15,-0.975,128,17,17,5.12,5.12,
,,0.975,,,1.45,45,-0.975,154,15,15,6.16,6.16,
,,0.975,,,1.45,75,-0.975,239,19,19,9.56,9.56,
,,0.975,,,1.45,105,-0.975,230,56,56,9.2,9.2,
,,0.975,,,1.45,135,-0.975,1360,1090,1090,54.4,54.4,
,,0.975,,,1.45,165,-0.975,,,,,,
,,1.025,,,1.45,15,-0.975,184,22,22,7.36,7.36,
,,1.025,,,1.45,45,-0.975,144,16,16,5.76,5.76,
,,1.025,,,1.45,75,-0.975,252,22,22,10.08,10.08,
,,1.025,,,1.45,105,-0.975,167,48,48,6.68,6.68,
,,1.025,,,1.45,135,-0.975,327,77,77,13.08,13.08,
,,1.025,,,1.45,165,-0.975,532,113,113,21.28,21.28,
,,1.075,,,1.45,15,-0.975,177,33,33,7.08,7.08,
,,1.075,,,1.45,45,-0.975,195,26,26,7.8,7.8,
,,1.075,,,1.45,75,-0.975,210,25,25,8.4,8.4,
,,1.075,,,1.45,105,-0.975,266,24,24,10.64,10.64,
,,1.075,,,1.45,135,-0.975,395,30,30,15.8,15.8,
,,1.075,,,1.45,165,-0.975,423,38,38,16.92,16.92,
,,1.125,,,1.45,15,-0.975,150,102,102,6,6,
,,1.125,,,1.45,45,-0.975,157,82,82,6.28,6.28,
,,1.125,,,1.45,75,-0.975,246,48,48,9.84,9.84,
