bin,k,q_squared,t,x_b,W,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,cos_theta_CM,D2_sigma_d_omega (nb/sr),D2_sigma_d_omega_stat_plus,D2_sigma_d_omega_stat_minus,D2_sigma_d_omega_sys_plus,D2_sigma_d_omega_sys_minus,link
,,0.567,,,1.53,,,,,,,-0.975,35.4,7,7,5.3,5.3,https://doi.org/10.1103/PhysRevC.79.015201
,,0.633,,,1.53,,,,,,,-0.975,30.5,5.4,5.4,4.6,4.6,
,,0.7,,,1.53,,,,,,,-0.975,25.9,13.2,13.2,3.9,3.9,
,,0.875,,,1.53,,,,,,,-0.975,23.7,4.1,4.1,3.6,3.6,
,,0.925,,,1.53,,,,,,,-0.975,20.4,3.8,3.8,3.1,3.1,
,,0.975,,,1.53,,,,,,,-0.975,27.3,4,4,4.1,4.1,
,,1.025,,,1.53,,,,,,,-0.975,22.2,3.4,3.4,3.3,3.3,
,,1.075,,,1.53,,,,,,,-0.975,20.7,3,3,3.1,3.1,
,,1.125,,,1.53,,,,,,,-0.975,16,3,3,2,2,
,,1.95,,,1.53,,,,,,,-0.975,7.8,2.1,2.1,1.2,1.2,
,,2.05,,,1.53,,,,,,,-0.975,8.6,2.4,2.4,1.3,1.3,
