bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,cos_theta_CM,D2_sigma_d_omega (nb/sr),D2_sigma_d_omega_stat_plus,D2_sigma_d_omega_stat_minus,D2_sigma_d_omega_sys_plus,D2_sigma_d_omega_sys_minus,D2_sigma_dt (nb/GeV^2),D2_sigma_dt_stat_plus,D2_sigma_dt_stat_minus,D2_sigma_dt_sys_plus,D2_sigma_dt_sys_minus,link
,,1,,,0.99,,,,,,,−0.975,497,67,67,283,283,28200,3810,3810,16100,16100,https://doi.org/10.1103/PhysRevC.79.015201
,,1,,,1.01,,,,,,,−0.975,262,23,23,81,81,10900,995,995,3390,3390,
,,1,,,1.03,,,,,,,−0.975,142,12,12,33,33,4750,411,411,1120,1120,
,,1,,,1.05,,,,,,,−0.975,100,8,8,32,32,2800,242,242,906,906,
,,1,,,1.07,,,,,,,−0.975,88,7,7,19,19,2120,168,168,465,465,
,,1,,,1.09,,,,,,,−0.975,55,4,4,11,11,1180,103,103,247,247,
,,1,,,1.11,,,,,,,−0.975,60,4,4,10,10,1140,92,92,199,199,
,,1,,,1.13,,,,,,,−0.975,54.3,4.7,4.7,9.2,9.2,939,80,80,159,159,
,,1,,,1.15,,,,,,,−0.975,67,5,5,18,18,1070,82,82,288,288,
,,1,,,1.17,,,,,,,−0.975,91,5,5,10,10,1350,83,83,147,147,
,,1,,,1.19,,,,,,,−0.975,100,5,5,10,10,1370,76,76,143,143,
,,1,,,1.21,,,,,,,−0.975,94,5,5,10,10,1210,68,68,131,131,
,,1,,,1.23,,,,,,,−0.975,72.4,4.3,4.3,9.5,9.5,874,51,51,115,115,
,,1,,,1.25,,,,,,,−0.975,51.3,3.2,3.2,7.4,7.4,586,36,36,84,84,
,,1,,,1.27,,,,,,,−0.975,32.8,2.3,2.3,3.9,3.9,355,24,24,41,41,
,,1,,,1.29,,,,,,,−0.975,22.7,1.6,1.6,2.6,2.6,233,16,16,26,26,
,,1,,,1.31,,,,,,,−0.975,20.9,1.6,1.6,4.2,4.2,205,15,15,41,41,
,,1,,,1.33,,,,,,,−0.975,18.7,1.5,1.5,2.6,2.6,175,13,13,24,24,
,,1,,,1.35,,,,,,,−0.975,16.4,1.4,1.4,3.3,3.3,147,12,12,29,29,
,,1,,,1.37,,,,,,,−0.975,12.9,1.3,1.3,3.6,3.6,111,10,10,31,31,
,,1,,,1.39,,,,,,,−0.975,14.1,1.3,1.3,2.6,2.6,116,11,11,21,21,
,,1,,,1.41,,,,,,,−0.975,14.7,1.4,1.4,2,2,117,11,11,16,16,
,,1,,,1.43,,,,,,,−0.975,13.1,1.4,1.4,2.2,2.2,101,10,10,16,16,
,,1,,,1.45,,,,,,,−0.975,17.2,1.6,1.6,2.6,2.6,128,11,11,18,18,
,,1,,,1.47,,,,,,,−0.975,21.3,1.7,1.7,2.3,2.3,152,11,11,16,16,
,,1,,,1.49,,,,,,,−0.975,27.6,1.7,1.7,3.9,3.9,191,11,11,27,27,
,,1,,,1.51,,,,,,,−0.975,27.8,1.6,1.6,3.3,3.3,186,10,10,22,22,
,,1,,,1.53,,,,,,,−0.975,23.2,1.4,1.4,2.7,2.7,151,9,9,17,17,
,,1,,,1.55,,,,,,,−0.975,22,1.3,1.3,2.4,2.4,139,8,8,15,15,
,,1,,,1.57,,,,,,,−0.975,17.5,1.2,1.2,3.2,3.2,107,7,7,19,19,
,,1,,,1.59,,,,,,,−0.975,18.3,1.2,1.2,2.8,2.8,108,7,7,16,16,
,,1,,,1.61,,,,,,,−0.975,15.6,1.1,1.1,2.2,2.2,89,6,6,12,12,
,,1,,,1.63,,,,,,,−0.975,17.5,1.1,1.1,1.8,1.8,98,6,6,10,10,
,,1,,,1.65,,,,,,,−0.975,17.4,1.1,1.1,2.4,2.4,94,6,6,12,12,
,,1,,,1.67,,,,,,,−0.975,12.7,1,1,2,2,67,5,5,10,10,
,,1,,,1.69,,,,,,,−0.975,11.8,1.1,1.1,4.2,4.2,60,5,5,21,21,
,,1,,,1.71,,,,,,,−0.975,8.8,1,1,1.9,1.9,44.2,5.2,5.2,9.3,9.3,
,,1,,,1.73,,,,,,,−0.975,6.7,0.8,0.8,2.6,2.6,32,4,4,12,12,
,,1,,,1.75,,,,,,,−0.975,6.2,0.8,0.8,1.2,1.2,29.5,3.6,3.6,5.6,5.6,
,,1,,,1.77,,,,,,,−0.975,5.2,0.7,0.7,2,2,24.4,3.2,3.2,9.1,9.1,
,,1,,,1.79,,,,,,,−0.975,5.3,0.7,0.7,2.5,2.5,24,3,3,11,11,
,,1,,,1.81,,,,,,,−0.975,7,0.7,0.7,2.3,2.3,31,3,3,10,10,
,,1,,,1.83,,,,,,,−0.975,5.6,0.7,0.7,2,2,24,3.1,3.1,8.7,8.7,
,,1,,,1.85,,,,,,,−0.975,5.7,0.7,0.7,1.1,1.1,23.9,3,3,4.9,4.9,
,,1,,,1.87,,,,,,,−0.975,4.8,0.7,0.7,1.2,1.2,19.7,2.9,2.9,4.9,4.9,
,,1,,,1.89,,,,,,,−0.975,6.7,0.8,0.8,2.6,2.6,27,3,3,10,10,
,,1,,,1.91,,,,,,,−0.975,5.5,0.8,0.8,1.7,1.7,21.7,3.2,3.2,6.5,6.5,
,,1,,,1.93,,,,,,,−0.975,2.1,0.8,0.8,0.6,0.6,8.1,3,3,2.4,2.4,
,,1,,,1.95,,,,,,,−0.975,3.4,1,1,1,1,12.9,3.6,3.6,3.9,3.9,
,,1,,,1.97,,,,,,,−0.975,5.2,1.7,1.7,1.6,1.6,19.1,6.4,6.4,5.7,5.7,
