bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,Helc_diff_D^4_sigma [pb_GeV^-4],Helc_diff_D^4_sigma_stat_plus,Helc_diff_D^4_sigma_stat_minus,Helc_diff_D^4_sigma_sys_plus,Helc_diff_D^4_sigma_sys_minus,link
,2.34,2.218,0.176,0.345,,7.5,,,,,,5.2,5.1,5.1,0,5.4,https://doi.org/10.1103/PhysRevC.92.055202
,2.34,2.218,0.176,0.345,,22.5,,,,,,1.8,5.1,5.1,3.6,0,
,2.34,2.218,0.176,0.345,,37.5,,,,,,8,4.7,4.7,1.5,0.7,
,2.34,2.218,0.176,0.345,,52.5,,,,,,16.7,4.5,4.5,5.7,0.1,
,2.34,2.218,0.176,0.345,,67.5,,,,,,21.1,4.1,4.1,6,0,
,2.34,2.218,0.176,0.345,,82.5,,,,,,16,4,4,2.1,0.1,
,2.34,2.218,0.176,0.345,,97.5,,,,,,10.1,3.5,3.5,1.9,0.1,
,2.34,2.218,0.176,0.345,,112.5,,,,,,20.7,3.4,3.4,0.1,1.8,
,2.34,2.218,0.176,0.345,,127.5,,,,,,9.3,3.2,3.2,0.9,1.9,
,2.34,2.218,0.176,0.345,,142.5,,,,,,4.8,3.1,3.1,1,0.1,
,2.34,2.218,0.176,0.345,,157.5,,,,,,-0.4,3,3,1.4,0,
,2.34,2.218,0.176,0.345,,172.5,,,,,,3.3,3,3,2.9,0.2,
,2.34,2.218,0.176,0.345,,187.5,,,,,,-0.6,2.8,2.8,0.6,1.4,
,2.34,2.218,0.176,0.345,,202.5,,,,,,-2.6,2.9,2.9,0.9,2,
,2.34,2.218,0.176,0.345,,217.5,,,,,,-7.5,3,3,1.1,0,
,2.34,2.218,0.176,0.345,,232.5,,,,,,-13.1,3.2,3.2,3.3,0,
,2.34,2.218,0.176,0.345,,247.5,,,,,,-6.9,3.3,3.3,1.7,0,
,2.34,2.218,0.176,0.345,,262.5,,,,,,-17.5,3.6,3.6,2.1,0,
,2.34,2.218,0.176,0.345,,277.5,,,,,,-13,3.8,3.8,1.4,0.7,
,2.34,2.218,0.176,0.345,,292.5,,,,,,-13.2,4.2,4.2,2.9,0.6,
,2.34,2.218,0.176,0.345,,307.5,,,,,,-16.6,4.3,4.3,0.4,2.1,
,2.34,2.218,0.176,0.345,,322.5,,,,,,-15.2,4.6,4.6,2.8,0,
