bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,link
,2.94,2.012,0.192,0.378,,7.5,,,,,,0.064,0.0063,0.0063,0.0011,0.0009,https://doi.org/10.1103/PhysRevC.92.055202
,2.94,2.012,0.192,0.378,,22.5,,,,,,0.0682,0.0062,0.0062,0.0018,0.002,
,2.94,2.012,0.192,0.378,,37.5,,,,,,0.0528,0.0056,0.0056,0,0.0046,
,2.94,2.012,0.192,0.378,,52.5,,,,,,0.0524,0.0058,0.0058,0.0006,0.0028,
,2.94,2.012,0.192,0.378,,67.5,,,,,,0.053,0.0054,0.0054,0.0013,0.0005,
,2.94,2.012,0.192,0.378,,82.5,,,,,,0.0473,0.0051,0.0051,0.0023,0,
,2.94,2.012,0.192,0.378,,97.5,,,,,,0.0482,0.0049,0.0049,0.0033,0,
,2.94,2.012,0.192,0.378,,112.5,,,,,,0.0469,0.0047,0.0047,0.0048,0.0013,
,2.94,2.012,0.192,0.378,,127.5,,,,,,0.0458,0.0046,0.0046,0,0.0015,
,2.94,2.012,0.192,0.378,,142.5,,,,,,0.0365,0.0042,0.0042,0.001,0,
,2.94,2.012,0.192,0.378,,157.5,,,,,,0.0332,0.004,0.004,0.0007,0.0013,
,2.94,2.012,0.192,0.378,,172.5,,,,,,0.0363,0.0041,0.0041,0,0.0031,
,2.94,2.012,0.192,0.378,,187.5,,,,,,0.0356,0.0041,0.0041,0.0003,0.0008,
,2.94,2.012,0.192,0.378,,202.5,,,,,,0.0377,0.0043,0.0043,0,0.0045,
,2.94,2.012,0.192,0.378,,217.5,,,,,,0.0436,0.0045,0.0045,0.0011,0.001,
,2.94,2.012,0.192,0.378,,232.5,,,,,,0.0381,0.0044,0.0044,0,0.0035,
,2.94,2.012,0.192,0.378,,247.5,,,,,,0.0377,0.0043,0.0043,0.0009,0.0018,
,2.94,2.012,0.192,0.378,,262.5,,,,,,0.0434,0.0046,0.0046,0,0.0083,
,2.94,2.012,0.192,0.378,,277.5,,,,,,0.0441,0.0049,0.0049,0.001,0.0008,
,2.94,2.012,0.192,0.378,,292.5,,,,,,0.0505,0.0053,0.0053,0.0023,0,
,2.94,2.012,0.192,0.378,,307.5,,,,,,0.0577,0.0058,0.0058,0.0003,0.0034,
,2.94,2.012,0.192,0.378,,322.5,,,,,,0.0621,0.0059,0.0059,0.0009,0.0009,
,2.94,2.012,0.192,0.378,,337.5,,,,,,0.0623,0.0059,0.0059,0.0015,0,
,2.94,2.012,0.192,0.378,,352.5,,,,,,0.0654,0.006,0.006,0,0.0015,
,2.94,2.054,0.233,0.392,,7.5,,,,,,0.057,0.0038,0.0038,0.0001,0.0012,
,2.94,2.054,0.233,0.392,,22.5,,,,,,0.0551,0.0036,0.0036,0,0.0025,
,2.94,2.054,0.233,0.392,,37.5,,,,,,0.0482,0.0033,0.0033,0.0005,0.0013,
,2.94,2.054,0.233,0.392,,52.5,,,,,,0.0514,0.0033,0.0033,0.0033,0.0001,
,2.94,2.054,0.233,0.392,,67.5,,,,,,0.042,0.003,0.003,0,0.003,
,2.94,2.054,0.233,0.392,,82.5,,,,,,0.0414,0.0029,0.0029,0,0.003,
,2.94,2.054,0.233,0.392,,97.5,,,,,,0.0328,0.0027,0.0027,0.0003,0.0026,
,2.94,2.054,0.233,0.392,,112.5,,,,,,0.0339,0.0026,0.0026,0,0.0029,
,2.94,2.054,0.233,0.392,,127.5,,,,,,0.028,0.0023,0.0023,0,0.0023,
,2.94,2.054,0.233,0.392,,142.5,,,,,,0.0273,0.0023,0.0023,0,0.001,
,2.94,2.054,0.233,0.392,,157.5,,,,,,0.0276,0.0022,0.0022,0,0.0017,
,2.94,2.054,0.233,0.392,,172.5,,,,,,0.0267,0.0022,0.0022,0.0016,0.0003,
