bin,k,q_squared,t,x_b,W,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,Helc_diff_D^4_sigma [pb_GeV^-4],Helc_diff_D^4_sigma_stat_plus,Helc_diff_D^4_sigma_stat_minus,Helc_diff_D^4_sigma_sys_plus,Helc_diff_D^4_sigma_sys_minus,link
,2.94,2.012,0.192,0.378,,7.5,,,,,,-2.8,9.1,9.1,4.3,2.5,https://doi.org/10.1103/PhysRevC.92.055202
,2.94,2.012,0.192,0.378,,22.5,,,,,,2.7,8.8,8.8,0.7,5.6,
,2.94,2.012,0.192,0.378,,37.5,,,,,,-6,7.9,7.9,3.6,0,
,2.94,2.012,0.192,0.378,,52.5,,,,,,7.2,8.1,8.1,2.6,2.5,
,2.94,2.012,0.192,0.378,,67.5,,,,,,-5.9,7.7,7.7,2.2,0.7,
,2.94,2.012,0.192,0.378,,82.5,,,,,,18.2,7.2,7.2,0.7,1.9,
,2.94,2.012,0.192,0.378,,97.5,,,,,,-0.8,7.3,7.3,4.8,0.6,
,2.94,2.012,0.192,0.378,,112.5,,,,,,14,6.7,6.7,2.8,0,
,2.94,2.012,0.192,0.378,,127.5,,,,,,-0.3,6.7,6.7,2.9,0.7,
,2.94,2.012,0.192,0.378,,142.5,,,,,,1.6,6,6,0,4,
,2.94,2.012,0.192,0.378,,157.5,,,,,,-9,5.9,5.9,2.5,2.4,
,2.94,2.012,0.192,0.378,,172.5,,,,,,-4.9,5.9,5.9,0,3.1,
,2.94,2.012,0.192,0.378,,187.5,,,,,,-2.7,6,6,1.4,3.3,
,2.94,2.012,0.192,0.378,,202.5,,,,,,6.7,6.3,6.3,0.9,4.1,
,2.94,2.012,0.192,0.378,,217.5,,,,,,-0.8,6.6,6.6,0.5,10,
,2.94,2.012,0.192,0.378,,232.5,,,,,,-8.7,6.3,6.3,2.6,0,
,2.94,2.012,0.192,0.378,,247.5,,,,,,-12.9,6.2,6.2,0.5,4,
,2.94,2.012,0.192,0.378,,262.5,,,,,,-4,6.5,6.5,0.3,3.8,
,2.94,2.012,0.192,0.378,,277.5,,,,,,-1.2,6.9,6.9,0.6,2.9,
,2.94,2.012,0.192,0.378,,292.5,,,,,,-6,7.4,7.4,0.6,1.6,
