bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,link
,2.94,1.82,0.172,0.343,,7.5,,,,,,0.1116,0.0041,0.0041,0.0023,0,https://doi.org/10.1103/PhysRevC.92.055202
,2.94,1.82,0.172,0.343,,22.5,,,,,,0.1176,0.0039,0.0039,0.0007,0.0003,
,2.94,1.82,0.172,0.343,,37.5,,,,,,0.0998,0.0035,0.0035,0.0003,0.0005,
,2.94,1.82,0.172,0.343,,52.5,,,,,,0.0941,0.0033,0.0033,0,0.0034,
,2.94,1.82,0.172,0.343,,67.5,,,,,,0.0882,0.003,0.003,0,0.0021,
,2.94,1.82,0.172,0.343,,82.5,,,,,,0.0787,0.0028,0.0028,0.0004,0.0004,
,2.94,1.82,0.172,0.343,,97.5,,,,,,0.0672,0.0026,0.0026,0.0036,0,
,2.94,1.82,0.172,0.343,,112.5,,,,,,0.0608,0.0024,0.0024,0.0005,0.0013,
,2.94,1.82,0.172,0.343,,127.5,,,,,,0.0575,0.0023,0.0023,0,0.0023,
,2.94,1.82,0.172,0.343,,142.5,,,,,,0.0501,0.0021,0.0021,0.0002,0.0008,
,2.94,1.82,0.172,0.343,,157.5,,,,,,0.0499,0.0021,0.0021,0,0.0009,
,2.94,1.82,0.172,0.343,,172.5,,,,,,0.0481,0.002,0.002,0,0.002,
,2.94,1.82,0.172,0.343,,187.5,,,,,,0.0483,0.002,0.002,0,0.0015,
,2.94,1.82,0.172,0.343,,202.5,,,,,,0.0532,0.0021,0.0021,0,0.0016,
,2.94,1.82,0.172,0.343,,217.5,,,,,,0.0527,0.0022,0.0022,0,0.0007,
,2.94,1.82,0.172,0.343,,232.5,,,,,,0.0552,0.0022,0.0022,0,0.0034,
,2.94,1.82,0.172,0.343,,247.5,,,,,,0.0585,0.0023,0.0023,0.0002,0.0009,
,2.94,1.82,0.172,0.343,,262.5,,,,,,0.0631,0.0024,0.0024,0,0.0028,
