bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,link
,5.55,1.51,0.18,0.359,,15,,,,,,0.1177,0.0052,0.0052,,,https://doi.org/10.1038/s41467-017-01819-3
,5.55,1.51,0.18,0.359,,45,,,,,,0.1107,0.0052,0.0052,,,
,5.55,1.51,0.18,0.359,,75,,,,,,0.0974,0.005,0.005,,,
,5.55,1.51,0.18,0.359,,105,,,,,,0.091,0.0048,0.0048,,,
,5.55,1.51,0.18,0.359,,135,,,,,,0.0807,0.0047,0.0047,,,
,5.55,1.51,0.18,0.359,,165,,,,,,0.0718,0.0047,0.0047,,,
,5.55,1.51,0.18,0.359,,195,,,,,,0.0793,0.0048,0.0048,,,
,5.55,1.51,0.18,0.359,,225,,,,,,0.0863,0.0049,0.0049,,,
,5.55,1.51,0.18,0.359,,255,,,,,,0.0852,0.0049,0.0049,,,
,5.55,1.51,0.18,0.359,,285,,,,,,0.094,0.005,0.005,,,
,5.55,1.51,0.18,0.359,,315,,,,,,0.1045,0.0051,0.0051,,,
,5.55,1.51,0.18,0.359,,345,,,,,,0.1072,0.0051,0.0051,,,
,5.55,1.51,0.237,0.359,,15,,,,,,0.1055,0.0058,0.0058,,,
,5.55,1.51,0.237,0.359,,45,,,,,,0.0967,0.0053,0.0053,,,
,5.55,1.51,0.237,0.359,,75,,,,,,0.0877,0.0052,0.0052,,,
,5.55,1.51,0.237,0.359,,105,,,,,,0.08,0.0052,0.0052,,,
,5.55,1.51,0.237,0.359,,135,,,,,,0.0674,0.0051,0.0051,,,
,5.55,1.51,0.237,0.359,,165,,,,,,0.0677,0.0058,0.0058,,,
,5.55,1.51,0.237,0.359,,195,,,,,,0.0641,0.0058,0.0058,,,
,5.55,1.51,0.237,0.359,,225,,,,,,0.0775,0.0055,0.0055,,,
,5.55,1.51,0.237,0.359,,255,,,,,,0.0889,0.0056,0.0056,,,
,5.55,1.51,0.237,0.359,,285,,,,,,0.1007,0.0057,0.0057,,,
,5.55,1.51,0.237,0.359,,315,,,,,,0.1045,0.0055,0.0055,,,
,5.55,1.51,0.237,0.359,,345,,,,,,0.1229,0.0059,0.0059,,,
,5.55,1.52,0.298,0.361,,15,,,,,,0.1074,0.0087,0.0087,,,
,5.55,1.52,0.298,0.361,,45,,,,,,0.085,0.006,0.006,,,
,5.55,1.52,0.298,0.361,,75,,,,,,0.0706,0.0057,0.0057,,,
,5.55,1.52,0.298,0.361,,105,,,,,,0.0635,0.0059,0.0059,,,
,5.55,1.52,0.298,0.361,,135,,,,,,0.0658,0.0064,0.0064,,,
,5.55,1.52,0.298,0.361,,165,,,,,,0.0603,0.0082,0.0082,,,
,5.55,1.52,0.298,0.361,,195,,,,,,0.0543,0.0082,0.0082,,,
,5.55,1.52,0.298,0.361,,225,,,,,,0.0696,0.0068,0.0068,,,
,5.55,1.52,0.298,0.361,,255,,,,,,0.0705,0.0064,0.0064,,,
,5.55,1.52,0.298,0.361,,285,,,,,,0.0824,0.0064,0.0064,,,
,5.55,1.52,0.298,0.361,,315,,,,,,0.083,0.006,0.006,,,
,5.55,1.52,0.298,0.361,,345,,,,,,0.0898,0.0082,0.0082,,,
,5.55,1.74,0.183,0.359,,7.5,,,,,,0.0962,0.0033,0.0033,,,
,5.55,1.74,0.183,0.359,,22.5,,,,,,0.0896,0.0032,0.0032,,,
,5.55,1.74,0.183,0.359,,37.5,,,,,,0.0902,0.0032,0.0032,,,
,5.55,1.74,0.183,0.359,,52.5,,,,,,0.0848,0.0031,0.0031,,,
,5.55,1.74,0.183,0.359,,67.5,,,,,,0.0737,0.0029,0.0029,,,
,5.55,1.74,0.183,0.359,,82.5,,,,,,0.0681,0.0028,0.0028,,,
,5.55,1.74,0.183,0.359,,97.5,,,,,,0.0632,0.0026,0.0026,,,
,5.55,1.74,0.183,0.359,,112.5,,,,,,0.057,0.0025,0.0025,,,
,5.55,1.74,0.183,0.359,,127.5,,,,,,0.0536,0.0024,0.0024,,,
,5.55,1.74,0.183,0.359,,142.5,,,,,,0.0505,0.0024,0.0024,,,
,5.55,1.74,0.183,0.359,,157.5,,,,,,0.0502,0.0023,0.0023,,,
,5.55,1.74,0.183,0.359,,172.5,,,,,,0.0508,0.0024,0.0024,,,
,5.55,1.74,0.183,0.359,,187.5,,,,,,0.0527,0.0024,0.0024,,,
,5.55,1.74,0.183,0.359,,202.5,,,,,,0.0512,0.0024,0.0024,,,
,5.55,1.74,0.183,0.359,,217.5,,,,,,0.0509,0.0024,0.0024,,,
,5.55,1.74,0.183,0.359,,232.5,,,,,,0.0571,0.0025,0.0025,,,
,5.55,1.74,0.183,0.359,,247.5,,,,,,0.06,0.0026,0.0026,,,
,5.55,1.74,0.183,0.359,,262.5,,,,,,0.0662,0.0027,0.0027,,,
,5.55,1.74,0.183,0.359,,277.5,,,,,,0.0721,0.0029,0.0029,,,
,5.55,1.74,0.183,0.359,,292.5,,,,,,0.0773,0.003,0.003,,,
,5.55,1.74,0.183,0.359,,307.5,,,,,,0.0759,0.003,0.003,,,
,5.55,1.74,0.183,0.359,,322.5,,,,,,0.0886,0.0031,0.0031,,,
,5.55,1.74,0.183,0.359,,337.5,,,,,,0.088,0.0032,0.0032,,,
,5.55,1.74,0.183,0.359,,352.5,,,,,,0.0948,0.0033,0.0033,,,
,5.55,1.74,0.242,0.359,,7.5,,,,,,0.1009,0.0036,0.0036,,,
,5.55,1.74,0.242,0.359,,22.5,,,,,,0.0875,0.0035,0.0035,,,
,5.55,1.74,0.242,0.359,,37.5,,,,,,0.0879,0.0034,0.0034,,,
,5.55,1.74,0.242,0.359,,52.5,,,,,,0.0802,0.0032,0.0032,,,
,5.55,1.74,0.242,0.359,,67.5,,,,,,0.0646,0.0029,0.0029,,,
,5.55,1.74,0.242,0.359,,82.5,,,,,,0.0588,0.0028,0.0028,,,
,5.55,1.74,0.242,0.359,,97.5,,,,,,0.0546,0.0027,0.0027,,,
,5.55,1.74,0.242,0.359,,112.5,,,,,,0.0512,0.0027,0.0027,,,
,5.55,1.74,0.242,0.359,,127.5,,,,,,0.0471,0.0026,0.0026,,,
,5.55,1.74,0.242,0.359,,142.5,,,,,,0.0412,0.0025,0.0025,,,
,5.55,1.74,0.242,0.359,,157.5,,,,,,0.0411,0.0026,0.0026,,,
,5.55,1.74,0.242,0.359,,172.5,,,,,,0.0435,0.0027,0.0027,,,
,5.55,1.74,0.242,0.359,,187.5,,,,,,0.0448,0.0027,0.0027,,,
,5.55,1.74,0.242,0.359,,202.5,,,,,,0.0433,0.0027,0.0027,,,
,5.55,1.74,0.242,0.359,,217.5,,,,,,0.0462,0.0027,0.0027,,,
,5.55,1.74,0.242,0.359,,232.5,,,,,,0.0501,0.0027,0.0027,,,
,5.55,1.74,0.242,0.359,,247.5,,,,,,0.0553,0.0027,0.0027,,,
,5.55,1.74,0.242,0.359,,262.5,,,,,,0.0563,0.0028,0.0028,,,
,5.55,1.74,0.242,0.359,,277.5,,,,,,0.0622,0.0029,0.0029,,,
,5.55,1.74,0.242,0.359,,292.5,,,,,,0.0691,0.0031,0.0031,,,
,5.55,1.74,0.242,0.359,,307.5,,,,,,0.0809,0.0032,0.0032,,,
,5.55,1.74,0.242,0.359,,322.5,,,,,,0.0882,0.0033,0.0033,,,
,5.55,1.74,0.242,0.359,,337.5,,,,,,0.0941,0.0034,0.0034,,,
,5.55,1.74,0.242,0.359,,352.5,,,,,,0.0971,0.0035,0.0035,,,
,5.55,1.74,0.302,0.359,,7.5,,,,,,0.0967,0.0041,0.0041,,,
,5.55,1.74,0.302,0.359,,22.5,,,,,,0.0939,0.0039,0.0039,,,
,5.55,1.74,0.302,0.359,,37.5,,,,,,0.0739,0.0035,0.0035,,,
,5.55,1.74,0.302,0.359,,52.5,,,,,,0.0651,0.0032,0.0032,,,
,5.55,1.74,0.302,0.359,,67.5,,,,,,0.0585,0.003,0.003,,,
,5.55,1.74,0.302,0.359,,82.5,,,,,,0.0588,0.003,0.003,,,
,5.55,1.74,0.302,0.359,,97.5,,,,,,0.0489,0.0028,0.0028,,,
,5.55,1.74,0.302,0.359,,112.5,,,,,,0.0488,0.0027,0.0027,,,
,5.55,1.74,0.302,0.359,,127.5,,,,,,0.043,0.0027,0.0027,,,
,5.55,1.74,0.302,0.359,,142.5,,,,,,0.0441,0.0028,0.0028,,,
,5.55,1.74,0.302,0.359,,157.5,,,,,,0.0392,0.003,0.003,,,
,5.55,1.74,0.302,0.359,,172.5,,,,,,0.0428,0.0032,0.0032,,,
,5.55,1.74,0.302,0.359,,187.5,,,,,,0.0434,0.0032,0.0032,,,
,5.55,1.74,0.302,0.359,,202.5,,,,,,0.0436,0.003,0.003,,,
,5.55,1.74,0.302,0.359,,217.5,,,,,,0.039,0.0028,0.0028,,,
,5.55,1.74,0.302,0.359,,232.5,,,,,,0.0422,0.0026,0.0026,,,
,5.55,1.74,0.302,0.359,,247.5,,,,,,0.0453,0.0027,0.0027,,,
,5.55,1.74,0.302,0.359,,262.5,,,,,,0.0553,0.0028,0.0028,,,
,5.55,1.74,0.302,0.359,,277.5,,,,,,0.0594,0.003,0.003,,,
,5.55,1.74,0.302,0.359,,292.5,,,,,,0.0611,0.0031,0.0031,,,
,5.55,1.74,0.302,0.359,,307.5,,,,,,0.0683,0.0032,0.0032,,,
,5.55,1.74,0.302,0.359,,322.5,,,,,,0.078,0.0034,0.0034,,,
,5.55,1.74,0.302,0.359,,337.5,,,,,,0.0869,0.0037,0.0037,,,
,5.55,1.74,0.302,0.359,,352.5,,,,,,0.0927,0.0039,0.0039,,,
,5.55,1.75,0.363,0.361,,7.5,,,,,,0.0927,0.0053,0.0053,,,
,5.55,1.75,0.363,0.361,,22.5,,,,,,0.0949,0.0046,0.0046,,,
,5.55,1.75,0.363,0.361,,37.5,,,,,,0.0662,0.0036,0.0036,,,
,5.55,1.75,0.363,0.361,,52.5,,,,,,0.0534,0.0031,0.0031,,,
,5.55,1.75,0.363,0.361,,67.5,,,,,,0.0541,0.003,0.003,,,
,5.55,1.75,0.363,0.361,,82.5,,,,,,0.0434,0.0029,0.0029,,,
,5.55,1.75,0.363,0.361,,97.5,,,,,,0.0453,0.003,0.003,,,
,5.55,1.75,0.363,0.361,,112.5,,,,,,0.0468,0.0029,0.0029,,,
,5.55,1.75,0.363,0.361,,127.5,,,,,,0.0391,0.0027,0.0027,,,
,5.55,1.75,0.363,0.361,,142.5,,,,,,0.0392,0.003,0.003,,,
,5.55,1.75,0.363,0.361,,157.5,,,,,,0.0399,0.0035,0.0035,,,
,5.55,1.75,0.363,0.361,,172.5,,,,,,0.0411,0.004,0.004,,,
,5.55,1.75,0.363,0.361,,187.5,,,,,,0.0497,0.0042,0.0042,,,
,5.55,1.75,0.363,0.361,,202.5,,,,,,0.0417,0.0035,0.0035,,,
,5.55,1.75,0.363,0.361,,217.5,,,,,,0.041,0.003,0.003,,,
,5.55,1.75,0.363,0.361,,232.5,,,,,,0.0365,0.0027,0.0027,,,
,5.55,1.75,0.363,0.361,,247.5,,,,,,0.041,0.0029,0.0029,,,
,5.55,1.75,0.363,0.361,,262.5,,,,,,0.045,0.003,0.003,,,
,5.55,1.75,0.363,0.361,,277.5,,,,,,0.0503,0.0032,0.0032,,,
,5.55,1.75,0.363,0.361,,292.5,,,,,,0.0527,0.0031,0.0031,,,
,5.55,1.75,0.363,0.361,,307.5,,,,,,0.0564,0.0032,0.0032,,,
,5.55,1.75,0.363,0.361,,322.5,,,,,,0.0703,0.0035,0.0035,,,
,5.55,1.75,0.363,0.361,,337.5,,,,,,0.0744,0.0042,0.0042,,,
,5.55,1.75,0.363,0.361,,352.5,,,,,,0.0867,0.0052,0.0052,,,
,5.55,1.98,0.182,0.357,,7.5,,,,,,0.0924,0.0048,0.0048,,,
