bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,link
,,7.5,,,89,,5.42,0.33,0.33,0.29,0.34,https://doi.org/10.1016/j.physletb.2003.08.048
,,12.5,,,89,,2.64,0.22,0.22,0.11,0.13,
,,20,,,89,,1.23,0.14,0.14,0.05,0.07,
,,32.5,,,89,,0.59,0.12,0.12,0.04,0.04,
,,55,,,89,,0.2,0.08,0.08,0.03,0.02,
,,85,,,89,,0.16,0.09,0.09,0.02,0.03,
,,9.6,,,45,,2.19,0.24,0.24,0.11,0.14,
,,9.6,,,55,,2.96,0.28,0.28,0.13,0.18,
,,9.6,,,65,,3.62,0.36,0.36,0.18,0.23,
,,9.6,,,75,,3.88,0.42,0.42,0.18,0.26,
,,9.6,,,85,,3.59,0.45,0.45,0.18,0.25,
,,9.6,,,95,,3.29,0.55,0.55,0.21,0.2,
,,9.6,,,105,,6.24,0.77,0.77,0.31,0.49,
,,9.6,,,115,,4.86,0.76,0.76,0.39,0.44,
,,9.6,,,125,,4.69,0.82,0.82,0.32,0.36,
,,9.6,,,135,,5.55,0.99,0.99,0.91,0.3,
,,6.2,,,52.5,,5.63,0.58,0.58,0.4,0.35,
,,6.2,,,77.5,,6.57,0.91,0.91,0.47,0.81,
,,6.2,,,102.5,,9.5,1.5,1.5,0.8,1.4,
,,6.2,,,127.5,,7.6,1.6,1.5,1.5,0.6,
,,9.9,,,52.5,,2.52,0.26,0.26,0.09,0.18,
,,9.9,,,77.5,,3.12,0.39,0.39,0.21,0.17,
,,9.9,,,102.5,,3.94,0.61,0.61,0.32,0.3,
,,9.9,,,127.5,,5.83,0.89,0.89,0.49,0.48,
,,18,,,52.5,,0.99,0.13,0.13,0.05,0.1,
,,18,,,77.5,,1.34,0.17,0.17,0.05,0.09,
,,18,,,102.5,,1.91,0.3,0.3,0.12,0.12,
,,18,,,127.5,,1.64,0.47,0.47,0.13,0.15,
