bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,link
1,27.5,3.25,,,104,,21.28,0.92,0.92,1.02,1.34,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
2,27.5,7.5,,,104,,5.87,0.42,0.42,0.14,0.30,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
3,27.5,12.5,,,104,,3.27,0.33,0.33,0.07,0.16,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
4,27.5,20.0,,,104,,1.23,0.21,0.21,0.05,0.08,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
5,27.5,32.5,,,104,,0.16,0.07,0.07,0.02,0.02,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
6,27.5,3.2,,,50,,14.47,1.05,1.05,0.50,0.88,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
7,27.5,3.2,,,70,,20.38,1.57,1.57,1.01,1.99,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
8,27.5,3.2,,,90,,17.95,1.35,1.35,0.64,0.93,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
9,27.5,3.2,,,110,,20.65,1.26,1.26,0.59,1.16,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
10,27.5,3.2,,,130,,26.42,1.84,1.84,0.79,0.88,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
11,27.5,3.2,,,155,,27.60,3.74,3.74,2.01,3.34,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
12,27.5,2.4,,,52.5,,27.06,3.44,3.44,4.37,4.42,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
13,27.5,2.4,,,77.5,,22.36,3.11,3.11,3.4,1.73,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
14,27.5,2.4,,,102.4,,26.49,1.89,1.89,0.89,1.44,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
15,27.5,2.4,,,127.5,,35.94,2.63,2.63,1.81,1.89,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
16,27.5,2.4,,,155,,35.72,9.47,9.47,3.01,2.94,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
17,27.5,6.2,,,52.5,,16.93,2.43,2.43,1.37,1.40,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
18,27.5,6.2,,,77.5,,16.93,2.43,2.43,1.37,1.40,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
19,27.5,6.2,,,102.4,,16.93,2.43,2.43,1.37,1.40,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
20,27.5,6.2,,,127.5,,16.93,2.43,2.43,1.37,1.40,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
21,27.5,6.2,,,155,,16.93,2.43,2.43,1.37,1.40,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
22,27.5,9.9,,,52.5,,6.15,1.67,1.67,0.51,0.51,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
23,27.5,9.9,,,77.5,,6.15,1.67,1.67,0.51,0.51,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
24,27.5,9.9,,,102.4,,6.15,1.67,1.67,0.51,0.51,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
25,27.5,9.9,,,127.5,,6.15,1.67,1.67,0.51,0.51,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
26,27.5,9.9,,,155,,6.15,1.67,1.67,0.51,0.51,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
27,27.5,18.0,,,52.5,,2.21,0.82,0.82,0.18,0.18,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
28,27.5,18.0,,,77.5,,2.21,0.82,0.82,0.18,0.18,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
29,27.5,18.0,,,102.4,,2.21,0.82,0.82,0.18,0.18,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
30,27.5,18.0,,,127.5,,2.21,0.82,0.82,0.18,0.18,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
31,27.5,18.0,,,155,,2.21,0.82,0.82,0.18,0.18,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
32,27.5,3.2,0.14,,104,,34.6,9.4,9.6,2.4,2.4,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
33,27.5,3.2,0.25,,104,,32.7,9.4,9.4,2.3,2.3,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
34,27.5,3.2,0.36,,104,,19.6,7.5,7.5,1.4,1.4,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
35,27.5,3.2,0.47,,104,,5.7,4.1,4.1,0.4,0.4,https://iopscience.iop.org/article/10.1088/1126-6708/2009/05/108
