set,index,k,q_squared,x_b,t,phi,F,sigma,sigma_stat_plus,F1,F2
1,0,5.75,1.82,0.343,-0.172,7.5,0.11160,0.00492,0.04409,0.68309,1.09312
1,1,5.75,1.82,0.343,-0.172,22.5,0.11760,0.00468,0.0398,0.68309,1.09312
1,2,5.75,1.82,0.343,-0.172,37.5,0.09980,0.00420,0.04208,0.68309,1.09312
1,3,5.75,1.82,0.343,-0.172,52.5,0.09410,0.00396,0.04208,0.68309,1.09312
1,4,5.75,1.82,0.343,-0.172,67.5,0.08820,0.00360,0.04082,0.68309,1.09312
1,5,5.75,1.82,0.343,-0.172,82.5,0.07870,0.00336,0.04269,0.68309,1.09312
1,6,5.75,1.82,0.343,-0.172,97.5,0.06720,0.00312,0.04643,0.68309,1.09312
1,7,5.75,1.82,0.343,-0.172,112.5,0.06080,0.00288,0.04737,0.68309,1.09312
1,8,5.75,1.82,0.343,-0.172,127.5,0.05750,0.00276,0.048,0.68309,1.09312
1,9,5.75,1.82,0.343,-0.172,142.5,0.05010,0.00252,0.0503,0.68309,1.09312
1,10,5.75,1.82,0.343,-0.172,157.5,0.04990,0.00252,0.0505,0.68309,1.09312
1,11,5.75,1.82,0.343,-0.172,172.5,0.04810,0.00240,0.0499,0.68309,1.09312
1,12,5.75,1.82,0.343,-0.172,187.5,0.04830,0.00240,0.04969,0.68309,1.09312
1,13,5.75,1.82,0.343,-0.172,202.5,0.05320,0.00252,0.04737,0.68309,1.09312
1,14,5.75,1.82,0.343,-0.172,217.5,0.05270,0.00264,0.05009,0.68309,1.09312
1,15,5.75,1.82,0.343,-0.172,232.5,0.05520,0.00264,0.04783,0.68309,1.09312
1,16,5.75,1.82,0.343,-0.172,247.5,0.05850,0.00276,0.04718,0.68309,1.09312
1,17,5.75,1.82,0.343,-0.172,262.5,0.06310,0.00288,0.04564,0.68309,1.09312
1,18,5.75,1.82,0.343,-0.172,277.5,0.07420,0.00324,0.04367,0.68309,1.09312
1,19,5.75,1.82,0.343,-0.172,292.5,0.08180,0.00348,0.04254,0.68309,1.09312
1,20,5.75,1.82,0.343,-0.172,307.5,0.09670,0.00384,0.03971,0.68309,1.09312
1,21,5.75,1.82,0.343,-0.172,322.5,0.10560,0.00420,0.03977,0.68309,1.09312
1,22,5.75,1.82,0.343,-0.172,337.5,0.10860,0.00456,0.04199,0.68309,1.09312
1,23,5.75,1.82,0.343,-0.172,352.5,0.11360,0.00480,0.04225,0.68309,1.09312
2,0,5.75,1.933,0.368,-0.232,7.5,0.07690,0.00504,0.06554,0.61351,0.94474
2,1,5.75,1.933,0.368,-0.232,22.5,0.06860,0.00444,0.06472,0.61351,0.94474
2,2,5.75,1.933,0.368,-0.232,37.5,0.06170,0.00384,0.06224,0.61351,0.94474
2,3,5.75,1.933,0.368,-0.232,52.5,0.06690,0.00360,0.05381,0.61351,0.94474
2,4,5.75,1.933,0.368,-0.232,67.5,0.05550,0.00324,0.05838,0.61351,0.94474
2,5,5.75,1.933,0.368,-0.232,82.5,0.04610,0.00288,0.06247,0.61351,0.94474
2,6,5.75,1.933,0.368,-0.232,97.5,0.04010,0.00252,0.06284,0.61351,0.94474
2,7,5.75,1.933,0.368,-0.232,112.5,0.03770,0.00240,0.06366,0.61351,0.94474
2,8,5.75,1.933,0.368,-0.232,127.5,0.03400,0.00216,0.06353,0.61351,0.94474
2,9,5.75,1.933,0.368,-0.232,142.5,0.03390,0.00204,0.06018,0.61351,0.94474
2,10,5.75,1.933,0.368,-0.232,157.5,0.03460,0.00204,0.05896,0.61351,0.94474
2,11,5.75,1.933,0.368,-0.232,172.5,0.03070,0.00192,0.06254,0.61351,0.94474
2,12,5.75,1.933,0.368,-0.232,187.5,0.03150,0.00192,0.06095,0.61351,0.94474
2,13,5.75,1.933,0.368,-0.232,202.5,0.03570,0.00204,0.05714,0.61351,0.94474
2,14,5.75,1.933,0.368,-0.232,217.5,0.03330,0.00204,0.06126,0.61351,0.94474
2,15,5.75,1.933,0.368,-0.232,232.5,0.03370,0.00216,0.06409,0.61351,0.94474
2,16,5.75,1.933,0.368,-0.232,247.5,0.03770,0.00240,0.06366,0.61351,0.94474
2,17,5.75,1.933,0.368,-0.232,262.5,0.04040,0.00252,0.06238,0.61351,0.94474
2,18,5.75,1.933,0.368,-0.232,277.5,0.04290,0.00276,0.06434,0.61351,0.94474
2,19,5.75,1.933,0.368,-0.232,292.5,0.05280,0.00312,0.05909,0.61351,0.94474
2,20,5.75,1.933,0.368,-0.232,307.5,0.05930,0.00336,0.05666,0.61351,0.94474
2,21,5.75,1.933,0.368,-0.232,322.5,0.06200,0.00384,0.06194,0.61351,0.94474
2,22,5.75,1.933,0.368,-0.232,337.5,0.07330,0.00456,0.06221,0.61351,0.94474
2,23,5.75,1.933,0.368,-0.232,352.5,0.07680,0.00504,0.06562,0.61351,0.94474
3,0,5.75,1.964,0.375,-0.278,7.5,0.07520,0.00672,0.08936,0.56833,0.85069
3,1,5.75,1.964,0.375,-0.278,22.5,0.05970,0.00540,0.09045,0.56833,0.85069
3,2,5.75,1.964,0.375,-0.278,37.5,0.05790,0.00456,0.07876,0.56833,0.85069
3,3,5.75,1.964,0.375,-0.278,52.5,0.05040,0.00384,0.07619,0.56833,0.85069
3,4,5.75,1.964,0.375,-0.278,67.5,0.04000,0.00336,0.084,0.56833,0.85069
3,5,5.75,1.964,0.375,-0.278,82.5,0.03610,0.00300,0.0831,0.56833,0.85069
3,6,5.75,1.964,0.375,-0.278,97.5,0.03520,0.00264,0.075,0.56833,0.85069
